,Q_f_i [m^3/hr],TDS_f_i [mg/L],Q_c_i [m^3/hr],Q_p_i [m^3/hr],TDS_p_i [mg/L],TDS_c_i [mg/L],P_f_i [psi],P_c_i [psi],c_f_i [ppm],c_c_i [ppm],c_p_i [ppm],rr_i [-],c_fc_i [ppm],pf_i [-],TDS_m_i [mg/L],pi_m_i [psi],pi_p_i [psi],A [m/(s*Pa)],B [m/s],R [-]
0,4,35789,3.87,0.13,7142.615385,36722,354.6959,348.4959,35036.16594,35925.88357,7139.659762,0.031593602,35493.6403,1.004533383,36360.32235,415.5280534,81.62625839,8.18E-12,3.64E-08,0.796220289
1,4.5,35789,4.37,0.13,6991.153846,36642,354.6959,347.2959,35036.16594,35849.63953,6989.085746,0.029642154,35452.28004,1.004208832,36311.03912,414.9648416,79.89534639,2.24E-11,3.57E-08,0.800517963
2,4.99,35789,4.87,0.13,7099.769231,36535,354.6959,346.0959,35036.16594,35747.65002,7097.078237,0.025731396,35401.78468,1.003668294,36246.37197,414.2258213,81.13660985,9.41E-12,3.63E-08,0.797435648
3,5.49,35789,5.37,0.13,7130.846154,36459,354.6959,344.8959,35036.16594,35675.19977,7127.951547,0.022789963,35367.11914,1.003290068,36201.97019,413.718395,81.49175888,8.09E-12,3.65E-08,0.796554464
4,5.99,35789,5.87,0.12,7139.916667,36399,354.6959,343.5959,35036.16594,35617.99686,7136.950734,0.020824734,35338.52035,1.002979476,36162.60567,413.2685347,81.59541727,7.41E-12,3.39E-08,0.79629761
5,6.49,35789,6.37,0.12,7161.416667,36348,354.6959,342.1959,35036.16594,35569.37067,7158.314854,0.019840639,35313.97405,1.002803924,36133.96801,412.9412618,81.84112063,7.48E-12,3.40E-08,0.795687837
6,4,35791,3.83,0.17,5729.058824,37101,374.6959,368.4959,35038.07438,36286.97594,5732.69118,0.042268293,35687.78903,1.006112892,36618.00206,418.4728334,65.472045,8.33E-12,3.73E-08,0.836386808
7,4.49,35791,4.33,0.17,5690.058824,36958,374.6959,367.3959,35038.07438,36150.75471,5693.841994,0.038397695,35617.98056,1.005533039,36530.86929,417.4770746,65.02635054,8.28E-12,3.71E-08,0.837495579
8,4.99,35791,4.83,0.17,5668,36840,374.6959,366.1959,35038.07438,36038.32825,5671.865236,0.033542106,35560.46278,1.004829412,36452.28192,416.5789732,64.77426092,8.06E-12,3.71E-08,0.838122804
9,5.49,35791,5.33,0.17,5658.764706,36742,374.6959,364.8959,35038.07438,35944.94327,5662.661293,0.031593602,35512.69372,1.004539746,36396.06195,415.9364878,64.66871939,8.21E-12,3.71E-08,0.838385488
