,Q_f_HPP [m^3/hr],P_f_RO [bar],RO_rr [%],q_f [m^3/hr],P_c [bar],S_c [mg/L],num_turbos [-],turbo_model [-],suction_pressure [bar],exhaust_pressure [bar],bypass_flowrate [m^3/hr],turbo_efficiency [%],valve_position [-],P_hpp_outlet [bar],hpp_efficiency [%,motor_efficiency [%],vfd_efficiency [%],sec_system [kWh/m^3],warning [-]
747,764.3,34.16,39.2,9.489921371,31.04,59622,1,AT 6000,1.01,1.4,0,74.5,Closed,20.74,82.6,95,97,1.84,0
748,1556.2,63.08,47.3,10.27628588,59.79,66643,1,AT 7800,1.01,1.4,0,76.3,Closed,39.6,87,95.8,97,2.8,0
749,584.1,45.63,59.5,9.570904054,43.21,80115,0,0,0,0,0,0,0,0,0,0,0,0,1
750,1717.8,31.65,42.2,13.40650152,25.66,62025,0,0,0,0,0,0,0,0,0,0,0,0,1
751,871.4,51.66,57.6,7.510729375,50.13,77749,0,0,0,0,0,0,0,0,0,0,0,0,1
752,353.1,50.08,25.2,6.503851237,48.35,50295,0,0,0,0,0,0,0,0,0,0,0,0,1
753,1810.2,28.73,45.7,14.99834191,21.57,65052,0,0,0,0,0,0,0,0,0,0,0,0,1
754,629.4,29.81,38.9,14.01374202,23,59379,1,AT 4150,1.01,1.4,0,72.9,Closed,20.19,81.8,94.8,97,1.82,0
755,676.1,68.24,55.4,3.762318471,67.84,75085,1,AT 3250,1.01,1.4,0,68.1,Closed,48.05,82.1,94.8,97,3.12,0
756,2099.2,35.46,25.3,10.46220553,31,50281,0,0,0,0,0,0,0,0,0,0,0,0,1
757,429.1,61.35,58.7,11.77680661,57.65,79095,1,AT 2150,1.01,1.4,0,65.1,Closed,46.22,80.1,94.3,97,2.92,0
758,211.9,50.35,21.1,7.802409357,47.75,47971,1,AT 1500,1.01,1.4,0,68,Closed,25.47,77.1,93.5,97,4.61,0
759,1961.3,28.09,31,7.654314559,25.85,53801,0,0,0,0,0,0,0,0,0,0,0,0,1
760,1578.7,50.18,26.1,3.884363574,49.57,50814,0,0,0,0,0,0,0,0,0,0,0,0,1
761,987.9,61.46,46.9,6.484071947,60.14,66216,1,AT 4150,1.01,1.4,0,73.9,Closed,38.41,84.9,95.3,97,2.82,0
762,1897.7,27.62,40.6,8.112941921,25.39,60728,0,0,0,0,0,0,0,0,0,0,0,0,1
763,2248.8,42.24,32.2,7.039847759,40.37,54631,0,0,0,0,0,0,0,0,0,0,0,0,1
764,581.6,60.91,56.9,7.825741764,59.23,76839,1,AT 3250,1.01,1.4,0,67,Closed,44.2,81.4,94.7,97,2.82,0
765,389.1,47.12,22.8,14.48065328,38.32,48870,1,AT 3250,1.01,1.4,0,71.9,Closed,26.64,79.7,94.2,97,4.29,0
766,1971.1,30.18,58.2,10.26332963,27.35,78340,0,0,0,0,0,0,0,0,0,0,0,0,1
767,365.6,56.36,45.3,9.9795495,53.17,64783,1,AT 1500,1.01,1.9,0,70,Closed,36.73,79.4,94.1,97,3.02,0
768,1669.8,56.43,54.4,6.346366222,55.29,73892,1,AT 7800,1.01,1.4,0,73.7,Closed,38.32,87.4,95.9,97,2.35,0
769,696.4,45.6,48.2,10.20869232,42.39,67433,1,AT 4150,1.01,1.4,0,72,Closed,30.31,82.2,94.9,97,2.23,0
770,646.7,62.83,48.7,5.636941922,61.86,67949,1,AT 3250,1.01,1.4,0,71.4,Closed,40.69,81.9,94.8,97,3.01,0
771,1397.2,59.03,49.3,15.34681533,51.89,68547,1,AT 7800,1.01,1.4,0,75.1,Closed,39.82,86.6,95.6,97,2.72,0
