,Q_f_HPP [m^3/hr],P_f_RO [bar],RO_rr [%],q_f [m^3/hr],P_c [bar],S_c [mg/L],num_turbos [-],turbo_model [-],suction_pressure [bar],exhaust_pressure [bar],bypass_flowrate [m^3/hr],turbo_efficiency [%],valve_position [-],P_hpp_outlet [bar],hpp_efficiency [%,motor_efficiency [%],vfd_efficiency [%],sec_system [kWh/m^3],warning [-]
905,2093.2,44.74,30.9,3.89525136,44.16,53793,0,0,0,0,0,0,0,0,0,0,0,0,1
906,1982.1,60.73,42.3,13.52359775,54.64,62149,0,0,0,0,0,0,0,0,0,0,0,0,1
907,2122,42.62,57.2,8.530344483,40.64,77223,0,0,0,0,0,0,0,0,0,0,0,0,1
908,1728.1,64.64,47.2,13.98361232,58.54,66505,1,AT 7800,1.01,1.4,0,77.1,Closed,41.39,87.5,95.9,97,2.92,0
909,92.6,54.55,23.4,8.678159805,51.42,49269,1,AT 875,1.01,1.4,0,64,Closed,30.03,73.5,92.6,97,5.22,0
910,2070.1,31.63,59.6,3.965793376,31.21,80241,0,0,0,0,0,0,0,0,0,0,0,0,1
911,1752,57.15,53,3.831678148,56.73,72331,1,AT 7800,1.01,1.4,0,74.7,Closed,37.72,87.6,95.9,97,2.36,0
912,1012,37.01,46.6,7.99354106,35,65887,1,AT 6000,1.01,1.4,0,74.3,Closed,23.68,85,95.3,97,1.72,0
913,1494.3,31.99,57.6,8.22591263,30.16,77614,0,0,0,0,0,0,0,0,0,0,0,0,1
914,1488.6,46.47,32.2,8.5997029,43.68,54661,0,0,0,0,0,0,0,0,0,0,0,0,1
915,1900.3,27.1,36.6,9.880287722,23.62,57690,0,0,0,0,0,0,0,0,0,0,0,0,1
916,758.7,66.59,28.9,14.17668572,58.73,52550,1,AT 4150,1.01,1.6,0,74.4,Closed,36.39,82.6,95,97,4.47,0
917,1215.5,67.55,21.8,13.35466897,59.98,48366,1,AT 7800,1.01,1.4,0,75.9,Closed,32.78,85.9,95.5,97,5.09,0
918,1979.3,54.29,41.7,5.23833739,53.38,61719,0,0,0,0,0,0,0,0,0,0,0,0,1
919,20.5,47.7,55.9,15.37561684,41.14,75573,0,0,0,0,0,0,0,0,0,0,0,0,1
920,1148.2,32.47,22.9,14.69883093,23.41,48892,0,0,0,0,0,0,0,0,0,0,0,0,1
921,1197.3,50.04,40,4.389543648,49.38,60311,1,AT 6000,1.01,1.4,0,76.7,Closed,27.97,85.9,95.5,97,2.35,0
922,2152.7,48.78,42,5.325004711,47.83,61957,0,0,0,0,0,0,0,0,0,0,0,0,1
923,1664.5,46.31,27.1,9.6350218,42.6,51414,0,0,0,0,0,0,0,0,0,0,0,0,1
924,417.8,43.54,32.1,11.95183065,38.16,54585,1,AT 3250,1.01,1.4,0,72.5,Closed,25.43,80,94.3,97,2.89,0
925,345.4,49.24,28.1,14.93597282,40.44,52025,0,0,0,0,0,0,0,0,0,0,0,0,1
926,475.4,55.86,23.8,14.65676694,46.95,49490,1,AT 3250,1.01,1.4,0,72.5,Closed,30.7,80.6,94.4,97,4.7,0
927,1600.6,34.82,49.5,4.827472156,34.12,68621,0,0,0,0,0,0,0,0,0,0,0,0,1
928,1955.6,34.55,52.3,12.2248162,30.19,71580,0,0,0,0,0,0,0,0,0,0,0,0,1
929,1300.4,57.63,45.3,3.589140267,57.22,64739,1,AT 6000,1.01,1.4,0,76.1,Closed,34.41,86.2,95.6,97,2.56,0
930,1373.5,47.58,33.3,13.94143769,40.36,55355,1,AT 7800,1.01,1.4,0,77.5,Closed,27.45,86.5,95.6,97,2.75,0
931,1222,32.63,37.6,4.284013844,31.98,58463,1,AT 7800,1.01,1.4,0,76.8,Closed,17.98,85.9,95.5,97,1.57,0
932,2103.9,69.87,24.1,7.29144222,67.67,49685,0,0,0,0,0,0,0,0,0,0,0,0,1
933,1595.3,58.29,29.7,5.885806964,56.95,53051,0,0,0,0,0,0,0,0,0,0,0,0,1
934,1853.8,32.36,39.3,10.09624494,28.85,59690,0,0,0,0,0,0,0,0,0,0,0,0,1
935,1946.7,49.11,30.9,7.23416736,47.11,53776,0,0,0,0,0,0,0,0,0,0,0,0,1
936,1149.1,54.5,36.4,7.720971165,52.36,57568,1,AT 6000,1.01,1.4,0,76.4,Closed,29.72,85.7,95.4,97,2.76,0
937,31.7,51.13,24,5.760411597,49.75,49579,1,AT 250,1.01,1.4,0,58.8,Closed,29.51,68.4,91.4,97,5.44,0
938,1883.3,40.45,41.6,4.090452657,39.89,61578,0,0,0,0,0,0,0,0,0,0,0,0,1
939,1945.6,46.64,36,6.568817036,45.09,57298,0,0,0,0,0,0,0,0,0,0,0,0,1
940,1561.6,45.49,36.7,12.91029528,39.55,57777,1,AT 7800,1.01,1.7,0,78.3,Closed,26.74,87.1,95.8,97,2.41,0
941,1319.6,69.09,52.9,9.853655395,66.28,72281,1,AT 6000,1.01,1.4,0,72.6,Closed,46.91,86.3,95.6,97,3.01,0
942,379.1,27.55,37.7,9.531747817,24.35,58482,1,LPT 2000,1.01,1.4,0,70.7,Closed,17.45,79.6,94.2,97,1.67,0
943,2201.2,31.19,43.9,7.315543269,29.44,63448,0,0,0,0,0,0,0,0,0,0,0,0,1
944,1658.7,47.5,43.1,7.36387208,45.71,62797,1,AT 7800,1.01,1.4,0,78.2,Closed,27.79,87.3,95.8,97,2.13,0
945,2127.9,55.04,39,6.65929889,53.5,59571,0,0,0,0,0,0,0,0,0,0,0,0,1
946,31.3,53.61,22.5,4.867478151,52.62,48744,1,AT 250,1.01,1.4,0,58.6,Closed,30.35,68.4,91.4,97,5.98,0
947,22.7,38.98,53.2,4.773553635,38.32,72536,1,AT 250,1.01,1.4,0,53.9,Closed,29.67,66.5,91,97,2.55,0
948,337.1,38.46,36,12.88490274,32.49,57238,1,LPT 1000,1.01,1.4,0,70.4,Closed,24.46,79.1,94.1,97,2.51,0
949,1022.3,68.82,25.5,9.949571752,64.8,50493,1,AT 6000,1.01,1.4,0,75.3,Closed,33.27,85.1,95.3,97,4.47,0
950,2075.2,62.89,29.9,13.67302962,55.66,53188,0,0,0,0,0,0,0,0,0,0,0,0,1
951,377.3,41.61,43.7,6.079330878,40.41,63334,1,AT 2150,1.01,1.4,0,71.7,Closed,25.86,79.6,94.2,97,2.17,0
952,440.1,38.42,20.5,12.07218504,32.15,47608,1,LPT 2000,1.01,1.4,0,72.8,Closed,20.61,80.2,94.4,97,3.62,0
953,457.8,47.16,44.2,9.773065248,44.06,63786,1,AT 3250,1.01,1.4,0,72,Closed,30.01,80.4,94.4,97,2.48,0
954,43.8,35.93,23.7,13.01558995,28.88,49342,0,0,0,0,0,0,0,0,0,0,0,0,1
955,121.7,46.79,33.1,3.911760046,46.22,55254,1,AT 875,1.01,1.4,0,66.5,Closed,26.86,74.7,92.9,97,3.22,0
956,713.5,46.6,28,10.71973823,42.06,51973,0,0,0,0,0,0,0,0,0,0,0,0,1
957,833.9,27.37,33.8,7.25686992,25.43,55696,1,AT 7800,1.01,1.4,0,74.3,Closed,15.55,84.1,95.1,97,1.54,0
958,674.2,31.76,20,7.842866444,29.1,47333,1,AT 6000,1.01,1.4,0,73,Closed,15.59,82.1,94.8,97,2.68,0
959,662.9,32.29,25.5,6.752360305,30.43,50433,1,AT 6000,1.01,1.4,0,73.7,Closed,16.35,82,94.8,97,2.22,0
960,46.8,59.81,23.7,11.44525828,54.37,49440,1,AT 350,1.01,1.4,0,63.9,Closed,33.98,70.4,91.8,97,6.17,0
961,913.5,32.39,52,14.82585682,25.95,71156,1,AT 6000,1.01,1.4,0,71.1,Closed,24.01,84.5,95.2,97,1.57,0
962,668.8,58.7,45.6,4.563801834,58.04,65067,1,AT 3250,1.01,1.4,0,72.7,Closed,36.28,82,94.8,97,2.85,0
963,2250.5,37.56,46.9,3.448811333,37.19,66189,0,0,0,0,0,0,0,0,0,0,0,0,1
964,28.9,52.28,20.2,9.816192439,48.11,47476,1,AT 250,1.01,1.4,0,57.9,Closed,30.69,67.9,91.3,97,6.79,0
965,387.1,61.23,48.6,8.832219449,58.84,67850,1,AT 1500,1.01,1.8,0,69.1,Closed,40.97,79.7,94.2,97,3.14,0
966,1525.2,33.81,46.5,7.402420025,32.09,65807,0,0,0,0,0,0,0,0,0,0,0,0,1
967,495.9,39.37,44,14.23104821,32.79,63559,1,LPT 2000,1.01,1.4,0,77.1,Closed,25.82,80.7,94.5,97,2.12,0
968,2228.2,64.23,46.7,12.95717968,58.96,66038,0,0,0,0,0,0,0,0,0,0,0,0,1
969,893.9,41.91,22.1,6.664805055,40.03,48492,1,AT 7800,1.01,1.4,0,74.5,Closed,19.48,84.4,95.1,97,2.98,0
970,361.4,32.86,38.1,3.784664049,32.36,58809,1,LPT 2000,1.01,1.4,0,70.9,Closed,19.26,79.4,94.1,97,1.84,0
971,265.8,45.34,22.6,5.145322438,44.23,48799,1,AT 2150,1.01,1.4,0,71.1,Closed,21.77,78.1,93.8,97,3.59,0
972,346.2,68.79,39.6,9.797013732,65.49,60040,1,AT 1500,1.01,2.1,0,70.1,Closed,41.93,79.2,94.1,97,3.97,0
973,1966.6,37.36,41.8,4.96547132,36.54,61717,0,0,0,0,0,0,0,0,0,0,0,0,1
974,1691.6,27.2,41.4,6.218207409,25.9,61368,0,0,0,0,0,0,0,0,0,0,0,0,1
975,810,45.87,30.7,6.841387116,44.08,53668,0,0,0,0,0,0,0,0,0,0,0,0,1
976,54.2,43.39,21.5,13.75067657,35.34,48161,0,0,0,0,0,0,0,0,0,0,0,0,1
977,37.9,38.53,54.5,7.943607915,36.75,73917,1,AT 250,1.01,1.4,0,60.5,Closed,28.8,69.3,91.6,97,2.3,0
978,1806.9,56.62,24.2,9.4985862,52.9,49721,0,0,0,0,0,0,0,0,0,0,0,0,1
979,321.3,27.26,47.2,9.344308931,24.54,66452,1,LPT 1000,1.01,1.4,0,67.8,Closed,18.97,78.9,94,97,1.47,0
980,1803.8,34.23,42.1,5.659620339,33.17,62009,0,0,0,0,0,0,0,0,0,0,0,0,1
981,756.7,46.41,22,3.46257094,45.9,48424,0,0,0,0,0,0,0,0,0,0,0,0,1
982,626.3,61.38,25.7,7.033826219,59.37,50601,0,0,0,0,0,0,0,0,0,0,0,0,1
983,397.1,34.72,59.3,14.00875966,29.53,79797,1,LPT 2000,1.01,1.4,0,64,Closed,27.39,79.8,94.2,97,1.69,0
984,1378.7,62.66,31.1,8.163718399,60.12,53966,1,AT 7800,1.01,1.4,0,77.3,Closed,31.39,86.5,95.6,97,3.38,0
985,1813.2,54.47,51.4,7.452366493,52.83,70635,1,AT 7800,1.01,1.4,0,75.7,Closed,35.55,87.7,95.9,97,2.29,0
986,168.9,33.75,24.7,8.611885031,30.7,49942,1,LPT 1000,1.01,1.4,0,67.6,Closed,18.83,76.1,93.3,97,2.91,0
987,1334.9,63.82,34.4,5.110015645,62.87,56219,1,AT 7800,1.01,1.4,0,77,Closed,32.78,86.4,95.6,97,3.2,0
988,973.4,42.2,44.2,9.82186583,39.07,63740,1,AT 6000,1.01,1.4,0,74.8,Closed,26.47,84.9,95.2,97,2.04,0
989,1771.2,40.4,20.6,14.98386647,30.74,47631,0,0,0,0,0,0,0,0,0,0,0,0,1
990,100.8,61.64,49.8,4.1258172,61.13,68997,1,AT 550,1.01,1.4,0,64.6,Closed,42.26,73.8,92.7,97,3.47,0
991,1082.8,63.48,47.1,9.605025138,60.6,66394,1,AT 6000,1.01,1.4,0,74.3,Closed,40.22,85.4,95.4,97,2.93,0
992,1724.3,39.01,33.9,10.77517363,34.73,55764,0,0,0,0,0,0,0,0,0,0,0,0,1
993,1360.9,40.56,27.8,4.751537466,39.66,51794,0,0,0,0,0,0,0,0,0,0,0,0,1
994,77.6,29.16,57.9,11.62097793,25.52,77998,1,AT 550,1.01,1.4,0,56.3,Closed,23.44,72.7,92.4,97,1.65,0
995,574.3,45.12,32.8,11.67851185,40.02,55013,1,AT 3250,1.01,1.4,0,73.4,Closed,26.06,81.4,94.6,97,2.84,0
996,659.5,50.46,22.8,11.24950024,45.15,48868,0,0,0,0,0,0,0,0,0,0,0,0,1
997,95.4,51.2,22.7,6.4491584,49.45,48855,1,AT 875,1.01,1.4,0,64.1,Closed,27.4,73.6,92.6,97,4.88,0
998,226.8,33.1,28.3,10.99322666,28.34,52106,1,LPT 1000,1.01,1.4,0,69,Closed,19.77,77.4,93.6,97,2.62,0
999,134.1,67.05,58.8,8.120696294,65.29,79286,1,AT 875,1.01,1.4,0,58.7,Closed,51.6,75.1,93,97,3.53,0
