,0
0,-1089624083.1418042
1,-1073511474.415686
2,-1069840601.4673693
3,-1068047821.0795588
4,-1067923018.8363539
5,-1066438068.9567872
6,-1065791128.1408601
7,-1065145889.9786364
8,-1064994552.9127762
9,-1064310832.0214791
10,-1063455560.167706
11,-1060943997.9891557
12,-1060194000.2205738
13,-1060010656.9438874
14,-1059844933.7920843
15,-1059715584.1283443
16,-1059530930.3926764
17,-1058700390.6338918
18,-1058690293.5635514
19,-1058466470.3375494
20,-1058046220.2354262
21,-1058033276.0056454
22,-1058008046.633343
23,-1057979403.3543301
24,-1057964030.2751516
25,-1057757778.1966689
26,-1057673060.6168456
27,-1057564435.1976621
28,-1057381519.5542513
29,-1057209262.7349381
30,-1057016478.2652512
31,-1056991958.0622592
32,-1056634457.6361586
33,-1056455575.3520294
34,-1056346383.1016475
35,-1055958031.5118101
36,-1055246671.2482177
37,-1055205141.4245517
38,-1054960266.9313955
39,-1054891587.3217933
40,-1054861981.3277246
41,-1054850101.3908477
42,-1054610990.3974967
43,-1054352613.6711375
44,-1054137126.1899148
45,-1053647648.2698711
46,-1053058069.6829474
47,-1052816650.4532353
48,-1052706279.5920445
49,-1052454170.7616521
50,-1052370906.2266135
51,-1052368404.807091
52,-1052124567.6591295
53,-1051851892.0789555
54,-1051724490.151603
55,-1051663494.316462
56,-1051638173.3201528
57,-1051551324.6791023
58,-1051478996.5987481
59,-1051285398.5198951
60,-1051138357.1517214
61,-1050836314.0652504
62,-1050597073.2262284
63,-1050564196.9183781
64,-1050335152.7360158
65,-1050276424.8453858
66,-1050217632.3796097
67,-1050079605.0023439
68,-1050029000.2636223
69,-1049801824.5475886
70,-1049553375.7860725
71,-1049293432.5725486
72,-1049241345.993736
73,-1049156007.511634
74,-1049010938.9173337
75,-1048999320.8682966
76,-1048983498.0067331
77,-1048901379.2780867
78,-1048689588.8180416
79,-1048479359.1468998
80,-1048378750.0160745
81,-1048349279.2131829
82,-1048333076.8824211
83,-1048279083.0206634
84,-1048227455.5749396
85,-1048105882.1310905
86,-1047812437.5578063
87,-1047708646.8307
88,-1047701088.8015649
89,-1047671827.6573873
90,-1047161237.5695779
91,-1047156163.963797
92,-1046957236.005977
93,-1046948391.023495
94,-1046944701.1784989
95,-1046906227.4884754
96,-1046899634.1815171
97,-1046889380.204098
98,-1046858969.4956393
99,-1046847301.7971661
