,0
0,"{'B_PSH': 1440700.6670711427, 'N_pv1_sub': 838.2872508820456, 'a0_spring': 37.486404353536734, 'a1_spring': -0.8699528477068418, 'a7_spring': -0.8563372301499909, 'b1_spring': -0.9524747931917961, 'b7_spring': -0.4206698892195254, 'a0_summer': 37.330196010930095, 'a1_summer': -1.3212122119824006, 'a7_summer': -0.2081613913845629, 'b1_summer': 0.2601774165905289, 'b7_summer': 0.48403790955115283, 'a0_fall': 37.4354808076365, 'a1_fall': 1.2144536524561742, 'a7_fall': -0.8807111239615657, 'b1_fall': -0.19264567726853155, 'b7_fall': 0.3486862452986009, 'a0_winter': 37.20191949728764, 'a1_winter': -0.013990158923634838, 'a7_winter': -0.5811566589442678, 'b1_winter': -0.8015446424800614, 'b7_winter': -0.5458473362942886, 'ERD_choice': 1}"
1,"{'B_PSH': 1440700.6670711427, 'N_pv1_sub': 838.2872508820456, 'a0_spring': 37.48623425614394, 'a1_spring': 0.08504306083294469, 'a7_spring': -0.8563372301499909, 'b1_spring': -0.7222425107002501, 'b7_spring': -0.4206698892195254, 'a0_summer': 37.2294947241158, 'a1_summer': -1.2895194231792577, 'a7_summer': -0.2081613913845629, 'b1_summer': -0.8321641724785482, 'b7_summer': 0.48403790955115283, 'a0_fall': 37.4354808076365, 'a1_fall': 1.2144536524561742, 'a7_fall': -0.8807111239615657, 'b1_fall': -0.17972055410016471, 'b7_fall': 0.6259853931455016, 'a0_winter': 37.20213042764698, 'a1_winter': -0.013990158923634838, 'a7_winter': -0.5123626102394294, 'b1_winter': -0.8015446424800614, 'b7_winter': 1.4796491949864414, 'ERD_choice': 1}"
2,"{'B_PSH': 1372257.0322517548, 'N_pv1_sub': 861.6392566371366, 'a0_spring': 37.48623425614394, 'a1_spring': 0.08094025350515173, 'a7_spring': -0.859112207045873, 'b1_spring': -0.7059446979833218, 'b7_spring': -0.4206698892195254, 'a0_summer': 37.2294947241158, 'a1_summer': -1.306624805565308, 'a7_summer': -0.2081613913845629, 'b1_summer': -0.8321641724785482, 'b7_summer': 0.48403790955115283, 'a0_fall': 37.435548208084406, 'a1_fall': 1.2144536524561742, 'a7_fall': -0.8807111239615657, 'b1_fall': -0.17972055410016471, 'b7_fall': 0.6253985319277782, 'a0_winter': 37.20213042764698, 'a1_winter': -0.01573434676873519, 'a7_winter': -0.5123626102394294, 'b1_winter': -0.8116532833656642, 'b7_winter': 1.4796491949864414, 'ERD_choice': 1}"
3,"{'B_PSH': 1438493.0215786246, 'N_pv1_sub': 838.2872508820456, 'a0_spring': 37.48623425614394, 'a1_spring': 0.07947278492629804, 'a7_spring': -0.8589728434540496, 'b1_spring': -0.7222425107002501, 'b7_spring': -0.38923232716584355, 'a0_summer': 37.249405237126275, 'a1_summer': -1.2895194231792577, 'a7_summer': -0.22668200260459762, 'b1_summer': -0.8302420671761789, 'b7_summer': 0.4892991803720289, 'a0_fall': 37.4354808076365, 'a1_fall': 1.1286292398004143, 'a7_fall': -0.8807111239615657, 'b1_fall': -0.17972055410016471, 'b7_fall': 0.6261906079565435, 'a0_winter': 37.2036133887328, 'a1_winter': -0.3086548917991333, 'a7_winter': -0.5113438694351483, 'b1_winter': -0.8015446424800614, 'b7_winter': 1.4795658333549093, 'ERD_choice': 1}"
4,"{'B_PSH': 1455503.3061884204, 'N_pv1_sub': 862.968975671399, 'a0_spring': 37.47947599152114, 'a1_spring': -0.12194177333073629, 'a7_spring': -0.7855265093240758, 'b1_spring': 1.184230779105827, 'b7_spring': 0.11569173702122099, 'a0_summer': 37.337045019717, 'a1_summer': 0.14808902736436547, 'a7_summer': -0.12018568564462923, 'b1_summer': -0.5382754618093244, 'b7_summer': 0.8595280199626483, 'a0_fall': 37.44164623632002, 'a1_fall': -0.5568290093035222, 'a7_fall': 0.07746509685169276, 'b1_fall': 1.0025529712511076, 'b7_fall': 0.910171431677262, 'a0_winter': 37.25362262074125, 'a1_winter': 0.27370696828706426, 'a7_winter': -1.4827161067032741, 'b1_winter': -0.8012113355361036, 'b7_winter': -0.3037412835891884, 'ERD_choice': 1}"
5,"{'B_PSH': 1334989.237303186, 'N_pv1_sub': 800.7334954169545, 'a0_spring': 37.205960036497515, 'a1_spring': 0.03076403736173, 'a7_spring': -0.808863738849969, 'b1_spring': 0.8948106499119939, 'b7_spring': -0.35084428750957153, 'a0_summer': 37.56598243988206, 'a1_summer': -1.1131354280630161, 'a7_summer': -0.2082216307688576, 'b1_summer': -0.5523483709479031, 'b7_summer': -0.5894875410378856, 'a0_fall': 37.5282946473542, 'a1_fall': -0.4898851259817084, 'a7_fall': 0.33973894545048067, 'b1_fall': -0.33283647536314087, 'b7_fall': -0.470478206127907, 'a0_winter': 37.27323812592852, 'a1_winter': 0.8717837667421482, 'a7_winter': 0.7739427987373214, 'b1_winter': -0.8047165734083485, 'b7_winter': 0.7699636690693786, 'ERD_choice': 1}"
6,"{'B_PSH': 1367601.9741490846, 'N_pv1_sub': 816.0781975969022, 'a0_spring': 37.49814803945707, 'a1_spring': 0.5572481566115051, 'a7_spring': -0.8174900231023142, 'b1_spring': 1.1736549402397891, 'b7_spring': -0.7136006134543104, 'a0_summer': 37.37371767883774, 'a1_summer': 0.13315496116584435, 'a7_summer': 0.15360423316404348, 'b1_summer': -0.8661216092831315, 'b7_summer': 0.9689494458183123, 'a0_fall': 37.52340416459417, 'a1_fall': 0.31411475737748595, 'a7_fall': -0.9286445339332057, 'b1_fall': -0.19499129906039558, 'b7_fall': 0.9956841110786079, 'a0_winter': 37.220553839474434, 'a1_winter': -0.33842051796854333, 'a7_winter': 0.5172778968538382, 'b1_winter': 1.5427478877965566, 'b7_winter': 0.8148038871804615, 'ERD_choice': 1}"
7,"{'B_PSH': 1396111.497691165, 'N_pv1_sub': 834.3541662849723, 'a0_spring': 37.47897717277772, 'a1_spring': -0.00610971421582765, 'a7_spring': -0.9881289109338673, 'b1_spring': 1.1959051986458316, 'b7_spring': -0.3701408414366276, 'a0_summer': 37.169520147097096, 'a1_summer': -0.01828728754518829, 'a7_summer': -0.8474815952295707, 'b1_summer': -0.3680816617056033, 'b7_summer': 0.793714764714842, 'a0_fall': 37.44212991649803, 'a1_fall': 1.5164638153172239, 'a7_fall': -0.9434016660760975, 'b1_fall': -0.21003538724299398, 'b7_fall': -1.0263604152424608, 'a0_winter': 37.27133619344569, 'a1_winter': -0.3116274864641985, 'a7_winter': 0.008006922738318323, 'b1_winter': -0.8981421896507416, 'b7_winter': -0.8928741582619396, 'ERD_choice': 1}"
8,"{'B_PSH': 1356410.626409224, 'N_pv1_sub': 837.2756585233369, 'a0_spring': 37.172343714023775, 'a1_spring': 0.007652333350346918, 'a7_spring': -0.9771986430379125, 'b1_spring': 0.902989553540275, 'b7_spring': -1.1414475460544793, 'a0_summer': 37.215487839848976, 'a1_summer': -0.21173521236088289, 'a7_summer': -0.18941997699437457, 'b1_summer': -0.9396793658376749, 'b7_summer': 0.8722411160192607, 'a0_fall': 37.45045333609882, 'a1_fall': 1.3292899456677545, 'a7_fall': -0.9611792808867252, 'b1_fall': -0.2894154919864589, 'b7_fall': 0.6517027440725456, 'a0_winter': 37.415126027040245, 'a1_winter': 0.8309341136999548, 'a7_winter': -0.21744558028763172, 'b1_winter': 0.17553694426452848, 'b7_winter': 0.9092491411989393, 'ERD_choice': 1}"
9,"{'B_PSH': 1461503.772828089, 'N_pv1_sub': 863.4881875110771, 'a0_spring': 37.49205534623078, 'a1_spring': -0.0028219532638543154, 'a7_spring': -0.8564765937418144, 'b1_spring': -0.6630938997992987, 'b7_spring': -0.41922374872976376, 'a0_summer': 37.22896259648276, 'a1_summer': -0.007063559377466476, 'a7_summer': -0.6444596500506139, 'b1_summer': -1.0853410314628669, 'b7_summer': 0.4359712335637787, 'a0_fall': 37.44352558012406, 'a1_fall': -0.21684394074555302, 'a7_fall': -0.8807111239615657, 'b1_fall': -0.18999472907757775, 'b7_fall': 0.8529596848013082, 'a0_winter': 37.25702998353728, 'a1_winter': -0.026123404191277122, 'a7_winter': -0.1779214395626888, 'b1_winter': -0.8116532833656642, 'b7_winter': -0.6349101716282366, 'ERD_choice': 1}"
