,0
0,"{'B_PSH': 1437269.5447705204, 'N_pv1_sub': 861.6392566371366, 'a0_spring': 37.50445104883866, 'a1_spring': 0.08781987566707418, 'a7_spring': -0.859112207045873, 'b1_spring': -0.675540566583943, 'b7_spring': -0.3249444256338628, 'a0_summer': 37.248931670756924, 'a1_summer': -1.3991037051868487, 'a7_summer': -0.5289073125079693, 'b1_summer': -1.0969471850889652, 'b7_summer': 0.4838877662898415, 'a0_fall': 37.435548208084406, 'a1_fall': 1.1316413265568277, 'a7_fall': -0.8807111239615657, 'b1_fall': -0.17972055410016471, 'b7_fall': 0.6570376257510772, 'a0_winter': 37.20213042764698, 'a1_winter': -0.3169875495852941, 'a7_winter': -0.5124094126602594, 'b1_winter': -0.8116532833656642, 'b7_winter': 1.479649350966482, 'ERD_choice': 1}"
1,"{'B_PSH': 1493350.1592474573, 'N_pv1_sub': 863.4785323607833, 'a0_spring': 37.485317442220634, 'a1_spring': 0.08094025350515173, 'a7_spring': -0.857269332452655, 'b1_spring': 1.0993564213402678, 'b7_spring': -0.8072248215609125, 'a0_summer': 37.22942047500912, 'a1_summer': -1.306624805565308, 'a7_summer': -0.5067300541026631, 'b1_summer': -1.190852918637198, 'b7_summer': 0.4808475542011157, 'a0_fall': 37.50132551529854, 'a1_fall': 1.3571812288309104, 'a7_fall': -0.8644920729498385, 'b1_fall': -0.19433948705122372, 'b7_fall': -1.092507191226812, 'a0_winter': 37.20368666278671, 'a1_winter': -0.04566291937982686, 'a7_winter': 1.175901888991323, 'b1_winter': -0.8530363348148345, 'b7_winter': 1.4318723229847052, 'ERD_choice': 1}"
2,"{'B_PSH': 1492805.7891983697, 'N_pv1_sub': 863.4785323607833, 'a0_spring': 37.48631579276535, 'a1_spring': 0.08094025350515173, 'a7_spring': -0.9872289948438819, 'b1_spring': -0.7059446979833218, 'b7_spring': -0.40507468520898904, 'a0_summer': 37.22949564232961, 'a1_summer': -1.306624805565308, 'a7_summer': -0.5744970216743863, 'b1_summer': -0.4943964927223614, 'b7_summer': 0.481080640200267, 'a0_fall': 37.435548208084406, 'a1_fall': 1.1831147321773003, 'a7_fall': -0.8796209286625024, 'b1_fall': -0.17972055410016471, 'b7_fall': 0.6253985319277782, 'a0_winter': 37.201368228509764, 'a1_winter': -0.015501051936915559, 'a7_winter': -0.5124358786803723, 'b1_winter': -0.850982132721188, 'b7_winter': 1.492541678310834, 'ERD_choice': 1}"
3,"{'B_PSH': 1492805.7891983697, 'N_pv1_sub': 863.4785323607833, 'a0_spring': 37.48631579276535, 'a1_spring': 0.061992906675108775, 'a7_spring': -0.9872289948438819, 'b1_spring': -0.7059446979833218, 'b7_spring': -0.40507468520898904, 'a0_summer': 37.22949564232961, 'a1_summer': -1.306624805565308, 'a7_summer': -0.9407855462818574, 'b1_summer': -0.4943964927223614, 'b7_summer': 0.481080640200267, 'a0_fall': 37.436662391847754, 'a1_fall': 1.290965522403395, 'a7_fall': -0.8768588265097752, 'b1_fall': -0.17972055410016471, 'b7_fall': 0.6756766148819446, 'a0_winter': 37.201368228509764, 'a1_winter': -0.015501051936915559, 'a7_winter': -0.5124358786803723, 'b1_winter': -0.8508315038397206, 'b7_winter': 1.4856203633508054, 'ERD_choice': 1}"
4,"{'B_PSH': 1436604.0980947025, 'N_pv1_sub': 869.7917913300128, 'a0_spring': 37.51372405730552, 'a1_spring': 0.003199649799747205, 'a7_spring': -0.8589153867889112, 'b1_spring': -0.612341913565856, 'b7_spring': -0.36964914763100865, 'a0_summer': 37.24681586040086, 'a1_summer': -1.330733592472652, 'a7_summer': -0.1971564907619126, 'b1_summer': -1.086322467413384, 'b7_summer': 0.4894515763931869, 'a0_fall': 37.52521867283156, 'a1_fall': -0.30266794740797964, 'a7_fall': 0.44122703443464284, 'b1_fall': -0.5083142492247307, 'b7_fall': 1.0122211780125858, 'a0_winter': 37.200184519674266, 'a1_winter': 0.0393706555140656, 'a7_winter': -0.5112540992994425, 'b1_winter': -0.8115020995036625, 'b7_winter': 1.5067274730863522, 'ERD_choice': 1}"
5,"{'B_PSH': 1487337.4491797125, 'N_pv1_sub': 863.6930583690056, 'a0_spring': 37.48623425614394, 'a1_spring': 0.08094015625323042, 'a7_spring': -0.9808830914439384, 'b1_spring': -0.7214256757454405, 'b7_spring': -0.3992209765844168, 'a0_summer': 37.229369538028415, 'a1_summer': -1.2920254219974183, 'a7_summer': -0.534980620007893, 'b1_summer': -0.8302578245235397, 'b7_summer': 0.4838877662898415, 'a0_fall': 37.435548208084406, 'a1_fall': 1.1316413265568277, 'a7_fall': -0.8808448100782074, 'b1_fall': -0.28313282564327147, 'b7_fall': 0.6570376257510772, 'a0_winter': 37.20304590351188, 'a1_winter': -0.3169875495852941, 'a7_winter': -0.5096890407958373, 'b1_winter': -0.8116532833656642, 'b7_winter': 1.4925282403501066, 'ERD_choice': 1}"
6,"{'B_PSH': 1444151.7143053082, 'N_pv1_sub': 864.3552016647903, 'a0_spring': 37.44097501864524, 'a1_spring': -0.3217902297203196, 'a7_spring': -0.9866628049155854, 'b1_spring': 0.9078051130761552, 'b7_spring': -1.1154578103243835, 'a0_summer': 37.33378527920227, 'a1_summer': -1.199782690827916, 'a7_summer': -0.8042476693221605, 'b1_summer': -0.5104020956051355, 'b7_summer': -0.07731997967652715, 'a0_fall': 37.40044206439204, 'a1_fall': -0.2652564156793522, 'a7_fall': -0.9649957907352082, 'b1_fall': 1.0025529712511076, 'b7_fall': 0.6471375087742967, 'a0_winter': 37.24341677684256, 'a1_winter': 0.9201600465027567, 'a7_winter': -0.18662463254462264, 'b1_winter': 0.07433480063015196, 'b7_winter': -0.012231007808752713, 'ERD_choice': 1}"
7,"{'B_PSH': 1436604.0980947025, 'N_pv1_sub': 869.9282945634781, 'a0_spring': 37.50423922269501, 'a1_spring': 0.003199649799747205, 'a7_spring': -0.8589930346033613, 'b1_spring': -0.6765718839859822, 'b7_spring': -0.40065165172176037, 'a0_summer': 37.22945820717901, 'a1_summer': -0.007063559377466476, 'a7_summer': -0.5380026557469483, 'b1_summer': -0.8344265267992013, 'b7_summer': 0.4894515763931869, 'a0_fall': 37.44350103497677, 'a1_fall': -0.30266794740797964, 'a7_fall': -0.8807111239615657, 'b1_fall': -0.17972055410016471, 'b7_fall': 1.0122211780125858, 'a0_winter': 37.20346283151719, 'a1_winter': 0.03870972530692113, 'a7_winter': -0.5112540992994425, 'b1_winter': -0.8115020995036625, 'b7_winter': 1.4796541608151546, 'ERD_choice': 1}"
8,"{'B_PSH': 1447269.9579652862, 'N_pv1_sub': 862.9850217601444, 'a0_spring': 37.487675205175336, 'a1_spring': -0.2786897792194097, 'a7_spring': -0.8656202650670134, 'b1_spring': -0.6514649451755621, 'b7_spring': -0.40507468520898904, 'a0_summer': 37.22944001548398, 'a1_summer': -1.30438959256422, 'a7_summer': -0.4879508385188212, 'b1_summer': -0.4943964927223614, 'b7_summer': 0.8512230737324048, 'a0_fall': 37.436349492713745, 'a1_fall': 0.47098219740474223, 'a7_fall': -0.9305829655537486, 'b1_fall': -0.17972055410016471, 'b7_fall': 0.6253985319277782, 'a0_winter': 37.201865037028554, 'a1_winter': -0.014115085703950037, 'a7_winter': -0.5208621696573646, 'b1_winter': -0.8366776976258874, 'b7_winter': -0.21620239074985714, 'ERD_choice': 1}"
9,"{'B_PSH': 1439373.7514382338, 'N_pv1_sub': 863.5639139442203, 'a0_spring': 37.49228205563174, 'a1_spring': 0.10136992305070627, 'a7_spring': -0.848163161352244, 'b1_spring': -0.6631128870866098, 'b7_spring': -0.4222170121179187, 'a0_summer': 37.22896459526836, 'a1_summer': -1.2498494166525262, 'a7_summer': -0.6815067194353318, 'b1_summer': -0.5022980549724818, 'b7_summer': 0.7715454347727685, 'a0_fall': 37.442379477599545, 'a1_fall': 1.2144536524561742, 'a7_fall': -0.8807056950772049, 'b1_fall': -0.18921834943458335, 'b7_fall': -0.8048659880685424, 'a0_winter': 37.20388700911745, 'a1_winter': -0.04746214630361362, 'a7_winter': -0.177847832328865, 'b1_winter': -0.8114242106539686, 'b7_winter': -0.7396462632037117, 'ERD_choice': 1}"
10,"{'B_PSH': 1453291.0798309105, 'N_pv1_sub': 863.8071201896353, 'a0_spring': 37.44237504428463, 'a1_spring': -0.31014395027948494, 'a7_spring': -0.8535271758114251, 'b1_spring': -0.5434481620472138, 'b7_spring': -0.4016734517336372, 'a0_summer': 37.441983392376294, 'a1_summer': 0.14780933114930636, 'a7_summer': -0.09160571827033172, 'b1_summer': -0.519077032883551, 'b7_summer': 0.483447478694268, 'a0_fall': 37.53988238379692, 'a1_fall': 0.1941737849360573, 'a7_fall': 0.034319974263144426, 'b1_fall': 0.9966742609108239, 'b7_fall': 0.8642208052945106, 'a0_winter': 37.24374226974617, 'a1_winter': 0.31134040029743826, 'a7_winter': 0.5705645427940444, 'b1_winter': -0.8831503769736571, 'b7_winter': -0.20415577328491197, 'ERD_choice': 1}"
11,"{'B_PSH': 1430504.9048209393, 'N_pv1_sub': 858.4549341788936, 'a0_spring': 37.44097501864524, 'a1_spring': -0.2827409743976822, 'a7_spring': -0.8592143440121285, 'b1_spring': 0.8629386969895887, 'b7_spring': 0.5286069960141098, 'a0_summer': 37.23644666279993, 'a1_summer': 0.1316419010627879, 'a7_summer': -0.1212262613317533, 'b1_summer': -0.5387053592912427, 'b7_summer': 0.49324397194097624, 'a0_fall': 37.40036398377688, 'a1_fall': -0.2989210834381405, 'a7_fall': -0.9790249099210335, 'b1_fall': 1.0025529712511076, 'b7_fall': 0.9157535504157674, 'a0_winter': 37.20388252977028, 'a1_winter': 0.9200121183696646, 'a7_winter': -0.5508057394020687, 'b1_winter': 0.16835654974475533, 'b7_winter': 1.7440099607495028, 'ERD_choice': 1}"
12,"{'B_PSH': 1439373.7514382338, 'N_pv1_sub': 863.5639139442203, 'a0_spring': 37.49228205563174, 'a1_spring': 0.10136992305070627, 'a7_spring': -0.848163161352244, 'b1_spring': -0.6631128870866098, 'b7_spring': -0.4222170121179187, 'a0_summer': 37.22896459526836, 'a1_summer': -1.2498494166525262, 'a7_summer': -0.6815067194353318, 'b1_summer': -0.5022980549724818, 'b7_summer': 0.7715454347727685, 'a0_fall': 37.442379477599545, 'a1_fall': 1.2144536524561742, 'a7_fall': -0.8807056950772049, 'b1_fall': -0.18921834943458335, 'b7_fall': -0.8048659880685424, 'a0_winter': 37.20213042764698, 'a1_winter': -0.04746214630361362, 'a7_winter': -0.177847832328865, 'b1_winter': -0.8114242106539686, 'b7_winter': -0.7396462632037117, 'ERD_choice': 1}"
