,0
0,"{'B_PSH': 796154.9352474256, 'N_pv1_sub': 18.64754105561734, 'a0_spring': 37.1735209335413, 'a1_spring': -0.9300241779643075, 'a7_spring': -0.976155557703735, 'b1_spring': -0.6799299226423682, 'b7_spring': -0.7970678143400813, 'a0_summer': 37.48386585966117, 'a1_summer': -0.26915833429481945, 'a7_summer': -0.8184248132972496, 'b1_summer': 0.603225259369986, 'b7_summer': 1.1055150877048898, 'a0_fall': 37.437251315273286, 'a1_fall': 1.6425945259571029, 'a7_fall': -0.13666318607045524, 'b1_fall': 0.6211192512421997, 'b7_fall': -0.8840280637139878, 'a0_winter': 37.264624277938445, 'a1_winter': -0.012054298679491038, 'a7_winter': -1.0428608289578818, 'b1_winter': 1.4008000308992128, 'b7_winter': -0.005510118442074892, 'ERD_choice': 1}"
1,"{'B_PSH': 514963.34053470567, 'N_pv1_sub': 61.28879842216473, 'a0_spring': 37.68004361937889, 'a1_spring': 0.11214065018143937, 'a7_spring': -1.0048882723875017, 'b1_spring': -0.8955539582627693, 'b7_spring': -0.016801870102866212, 'a0_summer': 37.28370228231265, 'a1_summer': -0.5309612080665018, 'a7_summer': -0.19214660862934219, 'b1_summer': 0.5052884666480313, 'b7_summer': -0.16182630578851087, 'a0_fall': 37.57986933113224, 'a1_fall': -0.5064583939418692, 'a7_fall': 0.5467200677642676, 'b1_fall': 0.22612898928669067, 'b7_fall': 0.9717539540372593, 'a0_winter': 37.273874671761455, 'a1_winter': -0.33328179324829843, 'a7_winter': 1.0973772384107898, 'b1_winter': 0.09879137014367684, 'b7_winter': 0.5893737451010896, 'ERD_choice': 1}"
2,"{'B_PSH': 1347847.8399632787, 'N_pv1_sub': 800.490183390064, 'a0_spring': 37.792914298918326, 'a1_spring': -0.3350502784424584, 'a7_spring': 0.4020641784003345, 'b1_spring': 1.0377216515115564, 'b7_spring': -0.36726208419622275, 'a0_summer': 37.468857934528735, 'a1_summer': 1.3998513048814785, 'a7_summer': -0.09850447525764428, 'b1_summer': -0.6738254459829939, 'b7_summer': -0.5894875410378856, 'a0_fall': 37.52815603526206, 'a1_fall': -0.29824800898826687, 'a7_fall': 0.0747755435627771, 'b1_fall': 0.9087585827522666, 'b7_fall': 1.0608390782281836, 'a0_winter': 37.26173654499215, 'a1_winter': 0.05621671509048448, 'a7_winter': -1.2716007490917098, 'b1_winter': 0.9207453400580414, 'b7_winter': -0.3537138399323943, 'ERD_choice': 0}"
3,"{'B_PSH': 522739.3824023219, 'N_pv1_sub': 110.79853745102403, 'a0_spring': 37.557942427141114, 'a1_spring': 0.86829749723159, 'a7_spring': 0.4864996768360612, 'b1_spring': 0.8653953161743804, 'b7_spring': -0.9135721220776987, 'a0_summer': 37.44875975289579, 'a1_summer': 0.01294577562645216, 'a7_summer': -0.07906045337972123, 'b1_summer': -0.7154024681265923, 'b7_summer': -0.011611873183418053, 'a0_fall': 37.27903777718151, 'a1_fall': 0.8666135425634276, 'a7_fall': -0.254994457256529, 'b1_fall': -0.3907021217303132, 'b7_fall': -0.44038699132386916, 'a0_winter': 37.287236773354586, 'a1_winter': 1.2308511163712843, 'a7_winter': -0.32593372496876494, 'b1_winter': -0.638050606982115, 'b7_winter': -1.0645991157717796, 'ERD_choice': 0}"
4,"{'B_PSH': 916589.912864262, 'N_pv1_sub': 868.3683893562827, 'a0_spring': 37.26946988714665, 'a1_spring': -1.3164625082622523, 'a7_spring': 1.428441017472945, 'b1_spring': 0.7157113018556418, 'b7_spring': -0.7176335692047532, 'a0_summer': 37.404924237575095, 'a1_summer': 0.9941281367059693, 'a7_summer': 0.7387651542996311, 'b1_summer': 1.0404517804323505, 'b7_summer': -0.7432167000704357, 'a0_fall': 37.81227269493639, 'a1_fall': -0.5262456270770839, 'a7_fall': -0.11279034261379695, 'b1_fall': 0.48871174621160507, 'b7_fall': 1.0224458907673828, 'a0_winter': 37.52583240291536, 'a1_winter': 0.09604623673761337, 'a7_winter': 0.713630375571048, 'b1_winter': -1.3234218171629242, 'b7_winter': 0.6788132514799929, 'ERD_choice': 0}"
5,"{'B_PSH': 599402.0631830383, 'N_pv1_sub': 550.9482191178968, 'a0_spring': 37.197255901606084, 'a1_spring': 0.07585041606782983, 'a7_spring': 0.3839126580413624, 'b1_spring': -0.7134877238718254, 'b7_spring': 0.14089831319133916, 'a0_summer': 37.49115245162795, 'a1_summer': 0.11318678966473494, 'a7_summer': -0.07473867765414488, 'b1_summer': -1.218452917358159, 'b7_summer': -0.35563162180795205, 'a0_fall': 37.462421619268696, 'a1_fall': -0.30336579280476433, 'a7_fall': 0.3179833353786294, 'b1_fall': -0.17671395488153907, 'b7_fall': -0.3124724604115283, 'a0_winter': 37.954867231966915, 'a1_winter': -0.053285060149929175, 'a7_winter': -0.1659730021299588, 'b1_winter': -0.6901607342507194, 'b7_winter': -0.5773357878825137, 'ERD_choice': 0}"
6,"{'B_PSH': 599402.0631830383, 'N_pv1_sub': 544.0325167635929, 'a0_spring': 37.197255901606084, 'a1_spring': 0.1703593374739703, 'a7_spring': 0.3839126580413624, 'b1_spring': -0.7134877238718254, 'b7_spring': 0.14089831319133916, 'a0_summer': 37.49115245162795, 'a1_summer': 0.11318678966473494, 'a7_summer': -0.07473867765414488, 'b1_summer': -1.218452917358159, 'b7_summer': -0.35356972587686486, 'a0_fall': 37.462421619268696, 'a1_fall': -0.30336579280476433, 'a7_fall': 0.3179833353786294, 'b1_fall': -0.17671395488153907, 'b7_fall': -0.3124724604115283, 'a0_winter': 37.954867231966915, 'a1_winter': -0.053285060149929175, 'a7_winter': 0.24450661511056448, 'b1_winter': -0.6901607342507194, 'b7_winter': -0.5773357878825137, 'ERD_choice': 0}"
7,"{'B_PSH': 599402.0631830383, 'N_pv1_sub': 550.9482191178968, 'a0_spring': 37.197255901606084, 'a1_spring': 0.1703593374739703, 'a7_spring': 0.3839126580413624, 'b1_spring': -0.7134877238718254, 'b7_spring': 0.14089831319133916, 'a0_summer': 37.49115245162795, 'a1_summer': 0.11318678966473494, 'a7_summer': -0.07473867765414488, 'b1_summer': -1.218452917358159, 'b7_summer': -0.35356972587686486, 'a0_fall': 37.462421619268696, 'a1_fall': -0.30336579280476433, 'a7_fall': 0.3179833353786294, 'b1_fall': -0.17671395488153907, 'b7_fall': -0.3124724604115283, 'a0_winter': 37.954867231966915, 'a1_winter': -0.053285060149929175, 'a7_winter': -0.1659730021299588, 'b1_winter': -0.6901607342507194, 'b7_winter': -0.5773357878825137, 'ERD_choice': 0}"
8,"{'B_PSH': 599420.6659145448, 'N_pv1_sub': 550.9482191178968, 'a0_spring': 37.725990289716286, 'a1_spring': 0.07585041606782983, 'a7_spring': 0.4010230535850212, 'b1_spring': 1.128302838615016, 'b7_spring': 0.11929329804300204, 'a0_summer': 37.35579385323608, 'a1_summer': 0.11318678966473494, 'a7_summer': 1.596196745286806, 'b1_summer': 1.0827640690672742, 'b7_summer': 0.09595267175121291, 'a0_fall': 37.44724234338803, 'a1_fall': -0.30121568884371863, 'a7_fall': 0.3179833353786294, 'b1_fall': -0.17671395488153907, 'b7_fall': -0.3124724604115283, 'a0_winter': 37.954867231966915, 'a1_winter': 0.016220789592060858, 'a7_winter': -0.1659730021299588, 'b1_winter': -0.611693028180746, 'b7_winter': 0.49187141323774725, 'ERD_choice': 0}"
9,"{'B_PSH': 599495.7965539073, 'N_pv1_sub': 684.105459809837, 'a0_spring': 37.725044292583135, 'a1_spring': 0.08420097779137681, 'a7_spring': -0.9143499141602605, 'b1_spring': -0.3402789189639056, 'b7_spring': -0.36842741157468056, 'a0_summer': 37.35579385323608, 'a1_summer': 0.11318678966473494, 'a7_summer': 1.6957776954262584, 'b1_summer': 1.1525214594182904, 'b7_summer': 0.09595267175121291, 'a0_fall': 37.44829410758711, 'a1_fall': -0.30121568884371863, 'a7_fall': 0.12536663811601773, 'b1_fall': -0.17671395488153907, 'b7_fall': -0.3124724604115283, 'a0_winter': 37.94372459013338, 'a1_winter': 0.016220789592060858, 'a7_winter': 0.47989960076531796, 'b1_winter': -0.8035964968229636, 'b7_winter': 0.49187141323774725, 'ERD_choice': 0}"
10,"{'B_PSH': 599652.453101941, 'N_pv1_sub': 548.8064807495247, 'a0_spring': 37.725990289716286, 'a1_spring': 0.07585041606782983, 'a7_spring': 0.43934241055956813, 'b1_spring': 1.128302838615016, 'b7_spring': 0.11929329804300204, 'a0_summer': 37.67210845276496, 'a1_summer': 0.10467385061713685, 'a7_summer': -0.07226828179838951, 'b1_summer': 1.0827640690672742, 'b7_summer': 0.09595267175121291, 'a0_fall': 37.44724234338803, 'a1_fall': -0.3024221607466789, 'a7_fall': 0.3325335698004206, 'b1_fall': -0.06378210125830387, 'b7_fall': -0.3124724604115283, 'a0_winter': 37.59146879638716, 'a1_winter': 0.016220789592060858, 'a7_winter': 1.2320540916541498, 'b1_winter': -0.745096951511502, 'b7_winter': 0.17479267654044142, 'ERD_choice': 0}"
