,0
0,"{'B_PSH': 1493498.1227492173, 'N_pv1_sub': 909.4914601205235, 'a0_spring': 37.65123026696117, 'a1_spring': -0.15517846188203993, 'a7_spring': -0.9886559702849518, 'b1_spring': -0.848511841509326, 'b7_spring': -0.5044602894976137, 'a0_summer': 37.25243095148659, 'a1_summer': -1.1764660990871698, 'a7_summer': -0.9494527370153603, 'b1_summer': -0.513522495036441, 'b7_summer': 0.4740757763589901, 'a0_fall': 37.436735690996414, 'a1_fall': 1.229254403117277, 'a7_fall': -0.8738854923212886, 'b1_fall': -0.17528175777946858, 'b7_fall': -0.7693721322093203, 'a0_winter': 37.531189863262455, 'a1_winter': 1.0296466720032984, 'a7_winter': -0.6120572822784092, 'b1_winter': -0.8010077792640048, 'b7_winter': -0.737463452402237, 'ERD_choice': 1}"
1,"{'B_PSH': 1495131.7159591194, 'N_pv1_sub': 911.6467896972831, 'a0_spring': 37.4928395667547, 'a1_spring': 0.0829899167097044, 'a7_spring': -1.2569456777609005, 'b1_spring': -0.6934830608057913, 'b7_spring': -0.8048549440771033, 'a0_summer': 37.224436610197344, 'a1_summer': -1.1972232373853513, 'a7_summer': -1.2001227942498296, 'b1_summer': -0.8383901401694834, 'b7_summer': 0.4015458204369191, 'a0_fall': 37.40632916656929, 'a1_fall': -0.2618871630856936, 'a7_fall': -0.9827193789466865, 'b1_fall': 0.11629393091530338, 'b7_fall': 0.677473238499562, 'a0_winter': 37.27206076622207, 'a1_winter': 0.17761977060223005, 'a7_winter': 1.1230184877699911, 'b1_winter': -0.8399821230494087, 'b7_winter': 1.381333948443267, 'ERD_choice': 1}"
2,"{'B_PSH': 1492240.0354652766, 'N_pv1_sub': 914.7407408082136, 'a0_spring': 37.48589544404965, 'a1_spring': 0.026990113190789866, 'a7_spring': -0.8470376424300048, 'b1_spring': -0.6897457891018114, 'b7_spring': -0.8098376227412472, 'a0_summer': 37.209223777667525, 'a1_summer': -1.311489235978955, 'a7_summer': -0.9349341542695997, 'b1_summer': -0.4832983576271342, 'b7_summer': 0.492891211628733, 'a0_fall': 37.406918968774534, 'a1_fall': 1.431127282559163, 'a7_fall': 0.45574893293328333, 'b1_fall': 0.14764963674154963, 'b7_fall': 0.6771718267447978, 'a0_winter': 37.276584479648335, 'a1_winter': 0.9412226539556963, 'a7_winter': 1.1419503679430665, 'b1_winter': -1.0479725161540039, 'b7_winter': 1.4545699579376064, 'ERD_choice': 1}"
3,"{'B_PSH': 1492723.357494601, 'N_pv1_sub': 909.9851288490087, 'a0_spring': 37.584205549910564, 'a1_spring': 0.028121348210925493, 'a7_spring': -0.8608599756052258, 'b1_spring': -0.32119353080987434, 'b7_spring': -1.0458920079324678, 'a0_summer': 37.23127986653429, 'a1_summer': -1.496894320348292, 'a7_summer': -0.9455460324747118, 'b1_summer': -0.5008239719206079, 'b7_summer': 0.51962561397379, 'a0_fall': 37.43607574957931, 'a1_fall': 1.246964283823741, 'a7_fall': 0.21969317031839028, 'b1_fall': 0.2681657732697177, 'b7_fall': 0.6971461015518232, 'a0_winter': 37.21259489153828, 'a1_winter': -0.04261365280648592, 'a7_winter': -0.27333347819281084, 'b1_winter': -0.8553604909657847, 'b7_winter': 1.4911566121216528, 'ERD_choice': 1}"
4,"{'B_PSH': 1492475.6898161154, 'N_pv1_sub': 914.2214323490693, 'a0_spring': 37.49199462774387, 'a1_spring': -0.38335012108698674, 'a7_spring': -0.8592325867713844, 'b1_spring': -0.5658015585539116, 'b7_spring': -0.338332025766211, 'a0_summer': 37.169509156958945, 'a1_summer': -1.1973335803507401, 'a7_summer': -1.208381736593866, 'b1_summer': -0.833860529483744, 'b7_summer': 0.4953040708219645, 'a0_fall': 37.406209254120135, 'a1_fall': -0.2618871630856936, 'a7_fall': 0.522035449562389, 'b1_fall': -0.9592871980049705, 'b7_fall': 0.9436860128513033, 'a0_winter': 37.2022190146734, 'a1_winter': 0.10196355237634913, 'a7_winter': 1.1569352844784324, 'b1_winter': -1.0439580322879543, 'b7_winter': 1.4546352293496068, 'ERD_choice': 1}"
5,"{'B_PSH': 1492238.6030274478, 'N_pv1_sub': 914.7407408082136, 'a0_spring': 37.48589544404965, 'a1_spring': 0.026990113190789866, 'a7_spring': -0.8489247346638958, 'b1_spring': -0.6869426550151259, 'b7_spring': -0.4124364060758628, 'a0_summer': 37.22896863309278, 'a1_summer': -1.3068006739996352, 'a7_summer': -1.0316993576634694, 'b1_summer': -0.4832983576271342, 'b7_summer': 0.4758178009806194, 'a0_fall': 37.40694455333504, 'a1_fall': 1.2217933075373453, 'a7_fall': 0.3353417053325876, 'b1_fall': 0.14764963674154963, 'b7_fall': 0.922795502416594, 'a0_winter': 37.26831931263927, 'a1_winter': 0.9412226539556963, 'a7_winter': 1.1419503679430665, 'b1_winter': -1.0479725161540039, 'b7_winter': 1.4530202647802264, 'ERD_choice': 1}"
6,"{'B_PSH': 1494101.7956038343, 'N_pv1_sub': 906.5805113289505, 'a0_spring': 37.537176553110505, 'a1_spring': 0.03883501075437039, 'a7_spring': -0.8681369754991511, 'b1_spring': -0.6779744067703123, 'b7_spring': -0.4227605255337954, 'a0_summer': 37.20865383090328, 'a1_summer': -1.3123303191391653, 'a7_summer': -0.9287570268572317, 'b1_summer': -0.428588036434704, 'b7_summer': 0.28207144627022496, 'a0_fall': 37.449065233598155, 'a1_fall': 1.4419007573602367, 'a7_fall': 0.24656495197871878, 'b1_fall': -0.15984143427541056, 'b7_fall': 0.8687631728740243, 'a0_winter': 37.510406997762395, 'a1_winter': -0.2842974950717829, 'a7_winter': -0.21346583555956877, 'b1_winter': -0.49241635290116137, 'b7_winter': 1.4911566121216528, 'ERD_choice': 1}"
7,"{'B_PSH': 1492571.5367411524, 'N_pv1_sub': 911.1225516381221, 'a0_spring': 37.54963095507929, 'a1_spring': 0.09916963388052334, 'a7_spring': -0.8406483144029916, 'b1_spring': -0.6756888326574574, 'b7_spring': -1.1139036648903218, 'a0_summer': 37.24356474760136, 'a1_summer': -1.3370096656974066, 'a7_summer': -0.7116741729482612, 'b1_summer': -0.4948200384832202, 'b7_summer': 0.2635054280126558, 'a0_fall': 37.43802777254806, 'a1_fall': 1.2304746017978763, 'a7_fall': 0.20422242744972957, 'b1_fall': -0.21454880671652587, 'b7_fall': 0.7071027662897007, 'a0_winter': 37.20311422591207, 'a1_winter': 0.001943211533229433, 'a7_winter': -0.21212603469431576, 'b1_winter': -0.8200450143442773, 'b7_winter': 1.489303095354484, 'ERD_choice': 1}"
8,"{'B_PSH': 1492723.357494601, 'N_pv1_sub': 910.0285387639233, 'a0_spring': 37.41618195412158, 'a1_spring': 0.026452493478931666, 'a7_spring': -1.0201194864228043, 'b1_spring': -0.789386346078502, 'b7_spring': -1.0255807999792421, 'a0_summer': 37.23001544030266, 'a1_summer': -1.337199577055771, 'a7_summer': -0.9253347239872942, 'b1_summer': -0.5008239719206079, 'b7_summer': 0.48711631680465045, 'a0_fall': 37.43607574957931, 'a1_fall': 1.4449135045050834, 'a7_fall': 0.24356487440702185, 'b1_fall': -0.6926045611035219, 'b7_fall': 0.692659374501307, 'a0_winter': 37.1830351158694, 'a1_winter': -0.30681580172072487, 'a7_winter': -0.25499224407684984, 'b1_winter': -0.578579540515788, 'b7_winter': 1.4913927589748175, 'ERD_choice': 1}"
9,"{'B_PSH': 1492465.252111305, 'N_pv1_sub': 909.6622040783948, 'a0_spring': 37.49130035351047, 'a1_spring': 0.09776026610033305, 'a7_spring': -0.8598656557547828, 'b1_spring': -0.6880241856023275, 'b7_spring': -0.4213440342117241, 'a0_summer': 37.22968706734313, 'a1_summer': -1.2952325134538587, 'a7_summer': -1.1685310668429911, 'b1_summer': -0.5135216873557135, 'b7_summer': 0.24156549330604363, 'a0_fall': 37.40306251687848, 'a1_fall': 1.229254403117277, 'a7_fall': -0.9059676101920363, 'b1_fall': 0.1466618198558665, 'b7_fall': -0.7139714047699504, 'a0_winter': 37.533939316168365, 'a1_winter': 0.9473854722262818, 'a7_winter': -0.4622354014542112, 'b1_winter': 0.2767426486925104, 'b7_winter': -0.7286269500318221, 'ERD_choice': 1}"
10,"{'B_PSH': 1492219.7415249, 'N_pv1_sub': 914.7407408082136, 'a0_spring': 37.5847605375495, 'a1_spring': 0.02386691217707166, 'a7_spring': -0.8470376424300048, 'b1_spring': -0.6880385150016014, 'b7_spring': -0.8098376227412472, 'a0_summer': 37.209223777667525, 'a1_summer': -1.311489235978955, 'a7_summer': -0.9349341542695997, 'b1_summer': -0.4832983576271342, 'b7_summer': 0.5033438615358302, 'a0_fall': 37.42962087148555, 'a1_fall': 1.2299467965751196, 'a7_fall': 0.45608563607438884, 'b1_fall': -0.15867999861198542, 'b7_fall': 0.9574840819319397, 'a0_winter': 37.276584479648335, 'a1_winter': 0.9412226539556963, 'a7_winter': 1.1419503679430665, 'b1_winter': -1.052363355962521, 'b7_winter': 1.4545699579376064, 'ERD_choice': 1}"
