,0
0,-1013298819.2935923
1,-1007647623.7833508
2,-996959589.4313945
3,-994729396.8612957
4,-994665231.9652206
5,-994429296.4855155
6,-992587902.9109056
7,-990874290.0026133
8,-990257566.3531249
9,-989125273.3285766
10,-988511110.9654136
11,-987804528.8226739
12,-986760397.2046794
13,-986746701.7125691
14,-985782002.6393001
15,-984942032.5020994
16,-984398382.9900477
17,-984047926.140429
18,-983995112.2096658
19,-983756844.8494209
20,-983468624.680001
21,-982067188.1280591
22,-980624144.5558835
23,-980131742.4348378
24,-979394463.4784358
25,-979030034.4605864
26,-978402162.2941821
27,-978132379.2814815
28,-978082013.2779286
29,-976785424.3054113
30,-976297301.8363501
31,-974921288.667421
32,-974664337.9495304
33,-974115263.5299703
34,-973478891.6553264
35,-972196358.0956507
36,-970981921.4703305
37,-970666214.5110458
38,-970354585.3307793
39,-970168502.6506876
40,-970136084.8126142
41,-969235210.1530093
42,-968217979.1245097
43,-968217465.3897839
44,-968203472.0290041
45,-967878309.4841455
46,-967700572.0451268
47,-967516342.8020129
48,-967305499.2782755
49,-967264907.4002296
50,-967063706.7478538
51,-966735935.8537416
52,-966658829.6551491
53,-966565593.5913787
54,-966360169.3057632
55,-965960332.1655405
56,-965921181.6375409
57,-965584545.9355563
58,-965335261.055869
59,-964995107.1974006
60,-964899613.2840362
61,-964814417.8290405
62,-964751737.2171694
63,-964215827.2901012
64,-964089031.7267237
65,-963766170.4294906
66,-963619551.9728829
67,-963319388.2375348
68,-963218737.9610176
69,-962727819.1095475
70,-962645368.7800517
71,-962522138.7326063
72,-962231540.4653157
73,-962230760.6295544
74,-962223308.4969887
75,-961803475.1906295
76,-961619337.8738029
77,-961545683.6430895
78,-961230653.0456681
79,-960908797.1576902
80,-960702650.8896748
81,-960469603.772499
82,-960432635.8717943
83,-960337210.1194957
84,-960314882.6093967
85,-960249217.2347602
86,-960149134.6707695
87,-960098061.6843138
88,-959941816.6017421
89,-959852600.9803607
90,-959622695.0538504
91,-959533337.6964674
92,-959174085.2109517
93,-959158928.4733139
94,-959049701.6314235
95,-958914074.9725293
96,-958663979.2580204
97,-958595538.0285401
98,-958588728.2441671
99,-958554762.5920942
