,0,1,2,3,4,5,6,7,8,9,10
0,-238817.85366639448,-0.25,-0.08333333333333334,-0.25,-0.023809523809523808,-0.05,-0.05,-0.05,-0.05,0.0,0.0
1,-235323.43293714276,-0.029761904761904767,-0.035714285714285726,-0.25,-0.059523809523809534,-0.05,-0.05,-0.05,-0.05,0.0,0.0
2,-240354.38345920833,0.0,-0.005952380952380959,-0.005952380952380959,-0.035714285714285726,0.009523809523809518,-0.01428571428571429,-0.05,-0.05,0.0,0.0
3,-234624.5487912924,-0.029761904761904767,-0.25,-0.25,0.01785714285714285,-0.05,-0.05,-0.05,-0.05,0.0,0.0
4,-234624.5487912924,-0.029761904761904767,-0.25,-0.25,0.01785714285714285,-0.05,-0.05,-0.05,-0.05,0.0,0.0
5,-243991.92619832186,-0.029761904761904767,0.05357142857142855,-0.07738095238095238,-0.18452380952380953,-0.05,-0.026190476190476195,-0.05,-0.05,0.0,0.0
6,-240942.373586864,0.041666666666666685,0.023809523809523836,-0.005952380952380959,-0.17857142857142858,-0.05,-0.05,-0.03214285714285715,-0.05,0.0,0.0
7,-238530.040924069,0.029761904761904767,0.023809523809523836,0.011904761904761918,-0.10714285714285715,-0.026190476190476195,-0.020238095238095243,0.0035714285714285657,-0.05,0.0,0.0
8,-228962.4026605049,0.023809523809523836,-0.029761904761904767,0.029761904761904767,0.005952380952380931,0.015476190476190477,-0.05,-0.05,-0.05,0.0,0.0
9,-228962.4026605049,0.023809523809523836,-0.04166666666666666,0.029761904761904767,0.005952380952380931,0.021428571428571422,-0.05,-0.05,-0.05,0.0,0.0
10,-103658.68741858844,0.01785714285714285,-0.023809523809523808,-0.22023809523809523,0.06547619047619047,-0.026190476190476195,-0.05,-0.05,-0.026190476190476195,0.0,0.0
11,-246063.0654592716,0.047619047619047616,-0.011904761904761918,-0.19047619047619047,0.01785714285714285,0.015476190476190477,0.0035714285714285657,-0.05,-0.026190476190476195,0.0,0.0
12,-248258.71238237288,0.023809523809523836,-0.029761904761904767,-0.10119047619047619,0.047619047619047616,0.015476190476190477,-0.05,-0.05,-0.020238095238095243,0.0,0.0
13,-240888.27679580828,-0.10119047619047619,0.047619047619047616,0.0357142857142857,-0.023809523809523808,-0.05,0.009523809523809518,-0.01428571428571429,-0.01428571428571429,0.0,0.0
14,-241302.44603236247,-0.17857142857142858,0.0,0.041666666666666685,0.005952380952380931,-0.05,-0.020238095238095243,0.05119047619047619,-0.01428571428571429,0.0,0.0
15,-71034.18407443396,0.047619047619047616,-0.16666666666666669,0.05357142857142855,-0.19642857142857142,-0.04404761904761905,-0.05,-0.008333333333333338,-0.05,0.0,0.0
16,-247419.37452198117,-0.25,0.0,0.029761904761904767,0.0357142857142857,-0.05,0.0035714285714285657,-0.05,0.039285714285714285,0.0,0.0
17,-234624.5487912924,0.05357142857142855,-0.029761904761904767,0.0357142857142857,0.01785714285714285,0.009523809523809518,-0.05,-0.05,-0.05,0.0,0.0
18,-247705.24958963683,-0.08928571428571427,0.005952380952380931,0.011904761904761918,0.07142857142857145,-0.05,-0.05,-0.01428571428571429,0.02738095238095238,0.0,0.0
19,-248652.99811114557,-0.125,0.041666666666666685,-0.029761904761904767,0.041666666666666685,-0.05,-0.05,-0.05,0.033333333333333326,0.0,0.0
