,0
0,-1034999972.1976933
1,-1023217908.2144496
2,-1019459737.6169662
3,-1017235168.0694476
4,-1013298819.2935923
5,-1012945835.4763923
6,-1012097546.3548945
7,-1012096221.8415207
8,-1009827534.6197895
9,-1009272136.4461727
10,-1009089346.0639585
11,-1007647623.7833508
12,-1007281702.460551
13,-1005378864.2927082
14,-1005164327.3103697
15,-1003488493.4254547
16,-1003093842.0821425
17,-1002949687.5706756
18,-1001949837.2321522
19,-1001260485.2448777
20,-1000647477.8484828
21,-1000372657.4296073
22,-1000047198.8264916
23,-999878331.8861353
24,-999717793.2032778
25,-999477085.2953457
26,-999447535.1858106
27,-999304710.0378312
28,-998371414.6752374
29,-997690437.0191536
30,-996959589.4313945
31,-996535116.124955
32,-996397548.5622531
33,-996051410.7305074
34,-995831535.2644078
35,-995648328.1456032
36,-995043832.0751203
37,-994729396.8612957
38,-994665231.9652206
39,-994429296.4855155
40,-993914329.0865948
41,-993445362.1010878
42,-992587902.9109056
43,-992316490.3713199
44,-992309531.4574035
45,-991874772.861501
46,-991478506.047139
47,-991239496.0648136
48,-990922094.0089993
49,-990874290.0026133
50,-990257566.3531249
51,-990211368.7376392
52,-989838344.7375937
53,-989833001.6894649
54,-989736102.2435375
55,-989125273.3285766
56,-988879853.1514357
57,-988679295.5591267
58,-988643984.3996588
59,-988511110.9654136
60,-988251966.7017481
61,-988151680.840601
62,-987819083.9550178
63,-987804528.8226739
64,-987642579.9857967
65,-987499941.7879277
66,-987293709.334559
67,-987242357.4357585
68,-986994299.5687456
69,-986760397.2046794
70,-986746701.7125691
71,-986671568.8860613
72,-986566136.1904064
73,-986369159.3299729
74,-985782002.6393001
75,-985446683.0731558
76,-985424225.6551025
77,-985322978.3197216
78,-985269282.4725251
79,-985043937.7731495
80,-984954032.3426694
81,-984942032.5020994
82,-984862325.5228074
83,-984553264.664956
84,-984398382.9900477
85,-984376864.9484057
86,-984047926.140429
87,-983995112.2096658
88,-983756844.8494209
89,-983524421.4863229
90,-983468624.680001
91,-983418375.4911667
92,-983261038.0302255
93,-983162918.8174971
94,-982973648.1507822
95,-982821623.6800385
96,-982350303.1546872
97,-982334704.6467626
98,-982200541.217713
99,-982077642.6317422
