,0
0,-1089624083.1418042
1,-1085152226.0649147
2,-1084518640.6381998
3,-1084443068.577671
4,-1081245961.7248838
5,-1081062279.2921739
6,-1080387515.342187
7,-1079919216.8616734
8,-1079593161.2359087
9,-1078499058.4083278
10,-1077652584.4934366
11,-1077637498.19455
12,-1077230202.2334857
13,-1077209680.8192446
14,-1075888637.8862116
15,-1074726785.5910523
16,-1074360244.0072498
17,-1074195258.2018263
18,-1074179865.3605247
19,-1073669147.9856107
20,-1073606640.4611194
21,-1073511474.415686
22,-1072944881.0824504
23,-1072897326.0757003
24,-1072759573.2188115
25,-1072614985.8471808
26,-1072571468.6644678
27,-1072562194.0944904
28,-1072482273.2277458
29,-1072230946.7296256
30,-1072152075.0053641
31,-1071993209.548219
32,-1071931429.294744
33,-1071691164.4748018
34,-1070838187.7115185
35,-1070795172.2215219
36,-1070467344.265565
37,-1070452002.8063953
38,-1070212418.0160733
39,-1069944163.0635602
40,-1069840601.4673693
41,-1069837543.4673052
42,-1069598406.3349947
43,-1069572270.5067937
44,-1069313388.9199947
45,-1069251291.5136153
46,-1069237083.6501827
47,-1069226420.832337
48,-1069184487.8100795
49,-1069063280.0619144
50,-1068704815.6833853
51,-1068563381.1397334
52,-1068535189.0687889
53,-1068415746.5177937
54,-1068390343.0660033
55,-1068351544.3198816
56,-1068217493.7948425
57,-1068047821.0795588
58,-1067923018.8363539
59,-1067797061.9607916
60,-1067785732.9583305
61,-1067688597.3374704
62,-1067410401.82757
63,-1067391981.0969551
64,-1067366874.5232702
65,-1067013037.6375834
66,-1066996572.553594
67,-1066883974.988255
68,-1066863603.8747829
69,-1066509949.7551806
70,-1066485444.915134
71,-1066448245.2788944
72,-1066438068.9567872
73,-1066135456.4801307
74,-1066099979.6375179
75,-1065998684.0434108
76,-1065890807.0093522
77,-1065828932.9722431
78,-1065791128.1408601
79,-1065776596.4032111
80,-1065444017.9423212
81,-1065407513.711618
82,-1065390688.2678716
83,-1065185892.1772444
84,-1065145889.9786364
85,-1064994552.9127762
86,-1064540373.3154182
87,-1064392691.1747432
88,-1064368140.8543272
89,-1064357987.2793453
90,-1064310832.0214791
91,-1064140733.9003581
92,-1064093776.3774166
93,-1064039129.825787
94,-1063838097.0983821
95,-1063787798.0718443
96,-1063663259.0305818
97,-1063575505.3227699
98,-1063523767.3934897
99,-1063455560.167706
