,0
0,"{'B_PSH': 599402.0631830383, 'N_pv1_sub': 550.9482191178968, 'a0_spring': 37.197255901606084, 'a1_spring': 0.07585041606782983, 'a7_spring': 0.3839126580413624, 'b1_spring': -0.7134877238718254, 'b7_spring': 0.14089831319133916, 'a0_summer': 37.49115245162795, 'a1_summer': 0.11318678966473494, 'a7_summer': -0.07473867765414488, 'b1_summer': -1.218452917358159, 'b7_summer': -0.35563162180795205, 'a0_fall': 37.462421619268696, 'a1_fall': -0.30336579280476433, 'a7_fall': 0.3179833353786294, 'b1_fall': -0.17671395488153907, 'b7_fall': -0.3124724604115283, 'a0_winter': 37.954867231966915, 'a1_winter': -0.053285060149929175, 'a7_winter': -0.1659730021299588, 'b1_winter': -0.6901607342507194, 'b7_winter': -0.5773357878825137, 'ERD_choice': 0}"
1,"{'B_PSH': 599420.6659145448, 'N_pv1_sub': 550.9482191178968, 'a0_spring': 37.725990289716286, 'a1_spring': 0.07585041606782983, 'a7_spring': 0.4010230535850212, 'b1_spring': 1.128302838615016, 'b7_spring': 0.11929329804300204, 'a0_summer': 37.35579385323608, 'a1_summer': 0.11318678966473494, 'a7_summer': 1.596196745286806, 'b1_summer': 1.0827640690672742, 'b7_summer': 0.09595267175121291, 'a0_fall': 37.44724234338803, 'a1_fall': -0.30121568884371863, 'a7_fall': 0.3179833353786294, 'b1_fall': -0.17671395488153907, 'b7_fall': -0.3124724604115283, 'a0_winter': 37.954867231966915, 'a1_winter': 0.016220789592060858, 'a7_winter': -0.1659730021299588, 'b1_winter': -0.611693028180746, 'b7_winter': 0.49187141323774725, 'ERD_choice': 0}"
2,"{'B_PSH': 1211086.9330642857, 'N_pv1_sub': 380.1411726235504, 'ERD_choice': 0, 'a0_spring': 37.26946988714665, 'a1_spring': -1.3164625082622523, 'a7_spring': 1.4443284137223857, 'b1_spring': 0.7230970146238025, 'b7_spring': 1.1667466691181012, 'a0_summer': 37.40770918763029, 'a1_summer': 0.9941281367059693, 'a7_summer': 1.2606585966896628, 'b1_summer': 0.4960500131805048, 'b7_summer': 1.2187922941978986, 'a0_fall': 37.341688368829686, 'a1_fall': -0.5214813008530954, 'a7_fall': -0.14782715221559317, 'b1_fall': 0.48189828055933526, 'b7_fall': 1.7951745265206775, 'a0_winter': 37.160920900792256, 'a1_winter': 0.09604623673761337, 'a7_winter': 1.721623479990578, 'b1_winter': 1.12470570763242, 'b7_winter': 0.31915457554159543}"
3,"{'B_PSH': 596515.2554783004, 'N_pv1_sub': 550.9482191178968, 'a0_spring': 37.725990289716286, 'a1_spring': 0.05504334797951138, 'a7_spring': 0.4010230535850212, 'b1_spring': 1.128302838615016, 'b7_spring': 0.16300332900727543, 'a0_summer': 37.62538797487227, 'a1_summer': 0.11954548040792123, 'a7_summer': -0.08165861883829395, 'b1_summer': -0.5844706010922203, 'b7_summer': 0.09595267175121291, 'a0_fall': 37.44724234338803, 'a1_fall': -0.3039422988908471, 'a7_fall': -0.03395101790532751, 'b1_fall': -0.17671395488153907, 'b7_fall': -0.2727813349494155, 'a0_winter': 37.954867231966915, 'a1_winter': 0.8394431501613797, 'a7_winter': -0.21109636537213539, 'b1_winter': -0.611693028180746, 'b7_winter': 0.5530306988783615, 'ERD_choice': 0}"
4,"{'B_PSH': 596515.2554783004, 'N_pv1_sub': 550.9482191178968, 'ERD_choice': 0, 'a0_spring': 37.725990289716286, 'a1_spring': 0.05504334797951138, 'a7_spring': 0.4010230535850212, 'b1_spring': 1.128302838615016, 'b7_spring': 0.16300332900727543, 'a0_summer': 37.62538797487227, 'a1_summer': 0.11954548040792123, 'a7_summer': -0.08165861883829395, 'b1_summer': -0.5633090579561721, 'b7_summer': 0.09595267175121291, 'a0_fall': 37.44724234338803, 'a1_fall': -0.3039422988908471, 'a7_fall': -0.03395101790532751, 'b1_fall': -0.17671395488153907, 'b7_fall': -0.2727813349494155, 'a0_winter': 37.954867231966915, 'a1_winter': 0.8394431501613797, 'a7_winter': -0.21109636537213539, 'b1_winter': -0.611693028180746, 'b7_winter': 0.5530306988783615}"
5,"{'B_PSH': 523347.5129667638, 'N_pv1_sub': 44.01161927887125, 'a0_spring': 37.52547713400204, 'a1_spring': 0.10901374296767918, 'a7_spring': 0.9870893028228749, 'b1_spring': -0.9522687121138214, 'b7_spring': -0.8062220847770837, 'a0_summer': 37.453826043730736, 'a1_summer': -0.5309612080665018, 'a7_summer': -0.19214660862934219, 'b1_summer': 0.5052884666480313, 'b7_summer': 1.9562313456016311, 'a0_fall': 37.58592736317228, 'a1_fall': -0.5064583939418692, 'a7_fall': 1.030489969578377, 'b1_fall': 0.22612898928669067, 'b7_fall': 0.2805088153278983, 'a0_winter': 37.273614472221496, 'a1_winter': -0.05273018040996791, 'a7_winter': 1.0865105970533662, 'b1_winter': -0.18217409792209427, 'b7_winter': 0.5893737451010896, 'ERD_choice': 1}"
6,"{'B_PSH': 523347.5129667638, 'N_pv1_sub': 66.53648135411494, 'ERD_choice': 1, 'a0_spring': 37.72984506227573, 'a1_spring': 0.10901374296767918, 'a7_spring': 0.9870893028228749, 'b1_spring': -0.07818969774012263, 'b7_spring': -0.8062220847770837, 'a0_summer': 37.32183981922956, 'a1_summer': -0.5309612080665018, 'a7_summer': -0.19214660862934219, 'b1_summer': 0.5052884666480313, 'b7_summer': 1.9612343648381998, 'a0_fall': 37.58592736317228, 'a1_fall': 1.404874508492999, 'a7_fall': 1.030489969578377, 'b1_fall': 0.22612898928669067, 'b7_fall': 0.2805088153278983, 'a0_winter': 37.273374309237056, 'a1_winter': -0.049197574800689425, 'a7_winter': 1.102537697922887, 'b1_winter': -0.18217409792209427, 'b7_winter': 0.5882303065879331}"
7,"{'B_PSH': 518838.3688108972, 'N_pv1_sub': 84.07667583279562, 'a0_spring': 37.72984506227573, 'a1_spring': -0.3341368242380237, 'a7_spring': 0.9870893028228749, 'b1_spring': -1.1928770558349813, 'b7_spring': -0.8062220847770837, 'a0_summer': 37.32183981922956, 'a1_summer': -0.5385816658612007, 'a7_summer': -0.18189280769927818, 'b1_summer': 0.9354596256794663, 'b7_summer': 1.9612343648381998, 'a0_fall': 37.58592736317228, 'a1_fall': 1.332803644769361, 'a7_fall': 0.296000639226475, 'b1_fall': 0.22612898928669067, 'b7_fall': -1.4399639763721257, 'a0_winter': 37.273374309237056, 'a1_winter': -0.049197574800689425, 'a7_winter': 1.102537697922887, 'b1_winter': -0.7814113922434303, 'b7_winter': 0.5831495145376, 'ERD_choice': 1}"
8,"{'B_PSH': 595151.2113460049, 'N_pv1_sub': 690.896917516924, 'a0_spring': 37.471990638710345, 'a1_spring': 1.1896229517446015, 'a7_spring': -0.5798135086070919, 'b1_spring': 1.186450339665378, 'b7_spring': 1.2446553893818448, 'a0_summer': 37.595983675266936, 'a1_summer': -1.0189629513880925, 'a7_summer': -0.5004879989635788, 'b1_summer': -0.7098787140258045, 'b7_summer': 0.8022591355810957, 'a0_fall': 37.94850724330081, 'a1_fall': 0.37168705347681885, 'a7_fall': 0.5169631324114938, 'b1_fall': 0.8995809296038828, 'b7_fall': 0.6254174989327881, 'a0_winter': 37.21148421225054, 'a1_winter': 1.6792354314103493, 'a7_winter': -0.001936571430539713, 'b1_winter': -0.8023257860615335, 'b7_winter': -0.07138028550792863, 'ERD_choice': 0}"
9,"{'B_PSH': 595151.2113460049, 'N_pv1_sub': 690.896917516924, 'ERD_choice': 0, 'a0_spring': 37.471990638710345, 'a1_spring': 1.1896229517446015, 'a7_spring': -0.7780091804326245, 'b1_spring': 1.186450339665378, 'b7_spring': 1.2446553893818448, 'a0_summer': 37.595983675266936, 'a1_summer': -1.0189629513880925, 'a7_summer': -0.5353002686894528, 'b1_summer': -0.7098787140258045, 'b7_summer': 0.5798041957300932, 'a0_fall': 37.94850724330081, 'a1_fall': 0.37168705347681885, 'a7_fall': 0.5169631324114938, 'b1_fall': 0.8995809296038828, 'b7_fall': 0.6254174989327881, 'a0_winter': 37.21148421225054, 'a1_winter': 1.6792354314103493, 'a7_winter': -0.001936571430539713, 'b1_winter': -0.8023257860615335, 'b7_winter': -0.07138028550792863}"
