,0
0,"{'B_PSH': 514963.34053470567, 'N_pv1_sub': 61.28879842216473, 'a0_spring': 37.68004361937889, 'a1_spring': 0.11214065018143937, 'a7_spring': -1.0048882723875017, 'b1_spring': -0.8955539582627693, 'b7_spring': -0.016801870102866212, 'a0_summer': 37.28370228231265, 'a1_summer': -0.5309612080665018, 'a7_summer': -0.19214660862934219, 'b1_summer': 0.5052884666480313, 'b7_summer': -0.16182630578851087, 'a0_fall': 37.57986933113224, 'a1_fall': -0.5064583939418692, 'a7_fall': 0.5467200677642676, 'b1_fall': 0.22612898928669067, 'b7_fall': 0.9717539540372593, 'a0_winter': 37.273874671761455, 'a1_winter': -0.33328179324829843, 'a7_winter': 1.0973772384107898, 'b1_winter': 0.09879137014367684, 'b7_winter': 0.5893737451010896, 'ERD_choice': 1}"
1,"{'B_PSH': 1347847.8399632787, 'N_pv1_sub': 800.490183390064, 'a0_spring': 37.792914298918326, 'a1_spring': -0.3350502784424584, 'a7_spring': 0.4020641784003345, 'b1_spring': 1.0377216515115564, 'b7_spring': -0.36726208419622275, 'a0_summer': 37.468857934528735, 'a1_summer': 1.3998513048814785, 'a7_summer': -0.09850447525764428, 'b1_summer': -0.6738254459829939, 'b7_summer': -0.5894875410378856, 'a0_fall': 37.52815603526206, 'a1_fall': -0.29824800898826687, 'a7_fall': 0.0747755435627771, 'b1_fall': 0.9087585827522666, 'b7_fall': 1.0608390782281836, 'a0_winter': 37.26173654499215, 'a1_winter': 0.05621671509048448, 'a7_winter': -1.2716007490917098, 'b1_winter': 0.9207453400580414, 'b7_winter': -0.3537138399323943, 'ERD_choice': 0}"
2,"{'B_PSH': 599402.0631830383, 'N_pv1_sub': 550.9482191178968, 'a0_spring': 37.197255901606084, 'a1_spring': 0.07585041606782983, 'a7_spring': 0.3839126580413624, 'b1_spring': -0.7134877238718254, 'b7_spring': 0.14089831319133916, 'a0_summer': 37.49115245162795, 'a1_summer': 0.11318678966473494, 'a7_summer': -0.07473867765414488, 'b1_summer': -1.218452917358159, 'b7_summer': -0.35563162180795205, 'a0_fall': 37.462421619268696, 'a1_fall': -0.30336579280476433, 'a7_fall': 0.3179833353786294, 'b1_fall': -0.17671395488153907, 'b7_fall': -0.3124724604115283, 'a0_winter': 37.954867231966915, 'a1_winter': -0.053285060149929175, 'a7_winter': -0.1659730021299588, 'b1_winter': -0.6901607342507194, 'b7_winter': -0.5773357878825137, 'ERD_choice': 0}"
3,"{'B_PSH': 599402.0631830383, 'N_pv1_sub': 550.9482191178968, 'a0_spring': 37.197255901606084, 'a1_spring': 0.1703593374739703, 'a7_spring': 0.3839126580413624, 'b1_spring': -0.7134877238718254, 'b7_spring': 0.14089831319133916, 'a0_summer': 37.49115245162795, 'a1_summer': 0.11318678966473494, 'a7_summer': -0.07473867765414488, 'b1_summer': -1.218452917358159, 'b7_summer': -0.35356972587686486, 'a0_fall': 37.462421619268696, 'a1_fall': -0.30336579280476433, 'a7_fall': 0.3179833353786294, 'b1_fall': -0.17671395488153907, 'b7_fall': -0.3124724604115283, 'a0_winter': 37.954867231966915, 'a1_winter': -0.053285060149929175, 'a7_winter': -0.1659730021299588, 'b1_winter': -0.6901607342507194, 'b7_winter': -0.5773357878825137, 'ERD_choice': 0}"
4,"{'B_PSH': 599420.6659145448, 'N_pv1_sub': 550.9482191178968, 'a0_spring': 37.725990289716286, 'a1_spring': 0.07585041606782983, 'a7_spring': 0.4010230535850212, 'b1_spring': 1.128302838615016, 'b7_spring': 0.11929329804300204, 'a0_summer': 37.35579385323608, 'a1_summer': 0.11318678966473494, 'a7_summer': 1.596196745286806, 'b1_summer': 1.0827640690672742, 'b7_summer': 0.09595267175121291, 'a0_fall': 37.44724234338803, 'a1_fall': -0.30121568884371863, 'a7_fall': 0.3179833353786294, 'b1_fall': -0.17671395488153907, 'b7_fall': -0.3124724604115283, 'a0_winter': 37.954867231966915, 'a1_winter': 0.016220789592060858, 'a7_winter': -0.1659730021299588, 'b1_winter': -0.611693028180746, 'b7_winter': 0.49187141323774725, 'ERD_choice': 0}"
5,"{'B_PSH': 599495.7965539073, 'N_pv1_sub': 684.105459809837, 'a0_spring': 37.725044292583135, 'a1_spring': 0.08420097779137681, 'a7_spring': -0.9143499141602605, 'b1_spring': -0.3402789189639056, 'b7_spring': -0.36842741157468056, 'a0_summer': 37.35579385323608, 'a1_summer': 0.11318678966473494, 'a7_summer': 1.6957776954262584, 'b1_summer': 1.1525214594182904, 'b7_summer': 0.09595267175121291, 'a0_fall': 37.44829410758711, 'a1_fall': -0.30121568884371863, 'a7_fall': 0.12536663811601773, 'b1_fall': -0.17671395488153907, 'b7_fall': -0.3124724604115283, 'a0_winter': 37.94372459013338, 'a1_winter': 0.016220789592060858, 'a7_winter': 0.47989960076531796, 'b1_winter': -0.8035964968229636, 'b7_winter': 0.49187141323774725, 'ERD_choice': 0}"
6,"{'B_PSH': 612709.4159863393, 'N_pv1_sub': 551.4013242164652, 'a0_spring': 37.25232711057581, 'a1_spring': 0.04426284962617544, 'a7_spring': 0.26712777446534397, 'b1_spring': 1.8195319414338245, 'b7_spring': 0.16267191885776655, 'a0_summer': 37.53364739292284, 'a1_summer': 0.11954548040792123, 'a7_summer': -0.1881334250277531, 'b1_summer': -0.031031216004285045, 'b7_summer': 0.20454157246588622, 'a0_fall': 37.445547766173114, 'a1_fall': -0.6842678752539296, 'a7_fall': -0.4682982585448756, 'b1_fall': -0.17671395488153907, 'b7_fall': 0.3396904159721761, 'a0_winter': 37.30854425759565, 'a1_winter': 1.4126911074357202, 'a7_winter': -0.20174599717201253, 'b1_winter': -0.611693028180746, 'b7_winter': 1.1398659199131362, 'ERD_choice': 0}"
7,"{'B_PSH': 595630.688148887, 'N_pv1_sub': 689.1596008963392, 'a0_spring': 37.471990638710345, 'a1_spring': 0.09890635651393276, 'a7_spring': -0.7780091804326245, 'b1_spring': 1.1242137534387189, 'b7_spring': 1.2446553893818448, 'a0_summer': 37.64681530641957, 'a1_summer': -0.9658023931203485, 'a7_summer': -0.5353002686894528, 'b1_summer': 0.8299008960738619, 'b7_summer': 0.06804455203064841, 'a0_fall': 37.44842507821725, 'a1_fall': 0.363944856918953, 'a7_fall': -0.07820306168281041, 'b1_fall': -0.18057369554865654, 'b7_fall': 0.6357640342200028, 'a0_winter': 37.21148421225054, 'a1_winter': 1.6792354314103493, 'a7_winter': -0.20021809794239523, 'b1_winter': -0.7937102758084515, 'b7_winter': 0.5468101771106583, 'ERD_choice': 0}"
8,"{'B_PSH': 58582.17484932354, 'N_pv1_sub': 846.8467196313206, 'a0_spring': 37.53359933045644, 'a1_spring': 0.8560956450754558, 'a7_spring': -0.9923420434868349, 'b1_spring': 0.41714506526733586, 'b7_spring': -1.022766743088156, 'a0_summer': 37.46432645432052, 'a1_summer': -1.3541701628454987, 'a7_summer': 0.23719416234005153, 'b1_summer': 0.2906175836617588, 'b7_summer': 1.2367451076369227, 'a0_fall': 37.42954292413745, 'a1_fall': 1.3960788916504738, 'a7_fall': 0.12944969152116603, 'b1_fall': 0.8049102911202277, 'b7_fall': 1.186227211764734, 'a0_winter': 37.48086629648545, 'a1_winter': -1.15217078863065, 'a7_winter': -0.5281626516495828, 'b1_winter': -0.10138817835343769, 'b7_winter': 1.503074070431449, 'ERD_choice': 1}"
9,"{'B_PSH': 127566.31705466687, 'N_pv1_sub': 552.8219786857659, 'a0_spring': 37.509968623344726, 'a1_spring': 1.4281215928421485, 'a7_spring': 0.8361525126429707, 'b1_spring': -0.6339804251376526, 'b7_spring': -0.6526765348947078, 'a0_summer': 37.603106028729364, 'a1_summer': -0.5233574742728537, 'a7_summer': -0.8574121935413151, 'b1_summer': 0.5870502854395167, 'b7_summer': -0.1448206872545352, 'a0_fall': 37.29496048273426, 'a1_fall': -1.0961566797315854, 'a7_fall': 0.517382356760943, 'b1_fall': 0.4063955810339194, 'b7_fall': 1.4124890614221433, 'a0_winter': 37.6168332363272, 'a1_winter': 0.7547128062434636, 'a7_winter': -0.8983546814995357, 'b1_winter': -0.641706349278393, 'b7_winter': -0.10502497486524143, 'ERD_choice': 1}"
