,0
0,"{'B_PSH': 1372257.0322517548, 'N_pv1_sub': 817.5741217737992, 'a0_spring': 37.48623425614394, 'a1_spring': 0.08094025350515173, 'a7_spring': -0.859112207045873, 'b1_spring': -0.7384338185893953, 'b7_spring': -0.3997814044627953, 'a0_summer': 37.22949562693928, 'a1_summer': -1.306624805565308, 'a7_summer': -0.20294432538461102, 'b1_summer': -0.9413894325891706, 'b7_summer': 0.4894515763931869, 'a0_fall': 37.435548208084406, 'a1_fall': 1.2144536524561742, 'a7_fall': -0.8807111239615657, 'b1_fall': -0.17972055410016471, 'b7_fall': 0.6574380275126496, 'a0_winter': 37.20213042764698, 'a1_winter': -0.01573434676873519, 'a7_winter': -0.5123626102394294, 'b1_winter': -0.8116532833656642, 'b7_winter': 1.5027975293574738, 'ERD_choice': 1}"
1,"{'B_PSH': 1358197.4252770238, 'N_pv1_sub': 799.7338847208407, 'a0_spring': 37.51750434053842, 'a1_spring': -0.32163510828490366, 'a7_spring': -0.9385281409951336, 'b1_spring': -0.7005947227814128, 'b7_spring': 0.09742473729747336, 'a0_summer': 37.440303148014834, 'a1_summer': -1.26388086945349, 'a7_summer': -0.20282597017932563, 'b1_summer': -0.5383755167818889, 'b7_summer': -0.07433370244557314, 'a0_fall': 37.43556979358537, 'a1_fall': -0.38351580681785746, 'a7_fall': 0.5169631324114938, 'b1_fall': 0.8479954667398308, 'b7_fall': -0.19946367616756286, 'a0_winter': 37.19754310154854, 'a1_winter': 1.6792354314103493, 'a7_winter': -1.4329961800023225, 'b1_winter': 0.23119045664484372, 'b7_winter': -0.008035515953240285, 'ERD_choice': 1}"
2,"{'B_PSH': 1347847.8399632787, 'N_pv1_sub': 800.490183390064, 'a0_spring': 37.52045796291059, 'a1_spring': -0.3052120449753286, 'a7_spring': -1.0016348446561958, 'b1_spring': 0.9203742953445118, 'b7_spring': -0.5467515110143586, 'a0_summer': 37.23365622476598, 'a1_summer': 0.017859221710343154, 'a7_summer': -0.09850447525764428, 'b1_summer': -0.5517000698797889, 'b7_summer': -0.5780718695397329, 'a0_fall': 37.3962995275502, 'a1_fall': -0.5705510789221068, 'a7_fall': -0.8831860057441627, 'b1_fall': -0.15821499246382564, 'b7_fall': -0.8159155800454988, 'a0_winter': 37.22959174985959, 'a1_winter': 0.8908920130997213, 'a7_winter': -1.6062545564621455, 'b1_winter': 0.3979063076534675, 'b7_winter': 0.7666566185341503, 'ERD_choice': 1}"
3,"{'B_PSH': 1364431.4423338925, 'N_pv1_sub': 837.3985033170163, 'a0_spring': 37.47897717277772, 'a1_spring': -0.00610971421582765, 'a7_spring': -0.9881289109338673, 'b1_spring': 1.1959051986458316, 'b7_spring': 0.4290135282556737, 'a0_summer': 37.169520147097096, 'a1_summer': -0.01828728754518829, 'a7_summer': -0.5504950672603467, 'b1_summer': -0.8285088661891465, 'b7_summer': 0.793714764714842, 'a0_fall': 37.44409620497437, 'a1_fall': 1.4121857512913143, 'a7_fall': -0.9421106251926211, 'b1_fall': -0.28553857750456146, 'b7_fall': 0.6256085822129721, 'a0_winter': 37.27133619344569, 'a1_winter': -0.3261833911485438, 'a7_winter': 0.009858613849027253, 'b1_winter': -0.8017581548014753, 'b7_winter': 1.0803515954281528, 'ERD_choice': 1}"
4,"{'B_PSH': 1338411.1645361453, 'N_pv1_sub': 810.9595908157288, 'a0_spring': 37.227774653560004, 'a1_spring': -0.015713278600069464, 'a7_spring': -0.8222152074332901, 'b1_spring': 0.918008161575648, 'b7_spring': -0.36726208419622275, 'a0_summer': 37.355854766785185, 'a1_summer': -1.2860271128951528, 'a7_summer': -0.09409322795719233, 'b1_summer': 0.256614108959341, 'b7_summer': -0.5830996621737754, 'a0_fall': 37.52516604047608, 'a1_fall': -0.2957000407277558, 'a7_fall': -0.029783618549227092, 'b1_fall': 0.9664380938031365, 'b7_fall': -0.4635150599117392, 'a0_winter': 37.26216952744728, 'a1_winter': -0.2694052044076395, 'a7_winter': -1.6020240261029182, 'b1_winter': -0.655899288643744, 'b7_winter': 0.7742427592032279, 'ERD_choice': 1}"
5,"{'B_PSH': 1364431.4423338925, 'N_pv1_sub': 837.3985033170163, 'a0_spring': 37.47897717277772, 'a1_spring': -0.00610971421582765, 'a7_spring': -0.9881289109338673, 'b1_spring': 1.1959051986458316, 'b7_spring': 0.4290135282556737, 'a0_summer': 37.228217474034984, 'a1_summer': -0.017898987370215946, 'a7_summer': -0.5501905548253179, 'b1_summer': -0.8285088661891465, 'b7_summer': 0.7902773154197684, 'a0_fall': 37.44409620497437, 'a1_fall': 1.4121857512913143, 'a7_fall': -0.9403270832042195, 'b1_fall': 0.18498819548007622, 'b7_fall': 0.655917688384518, 'a0_winter': 37.27126061332018, 'a1_winter': -0.3261833911485438, 'a7_winter': 0.009858613849027253, 'b1_winter': -0.8017581548014753, 'b7_winter': 1.0803515954281528, 'ERD_choice': 1}"
6,"{'B_PSH': 1338411.1645361453, 'N_pv1_sub': 800.490183390064, 'a0_spring': 37.202304109266755, 'a1_spring': 0.6235180624457293, 'a7_spring': -0.808863738849969, 'b1_spring': 0.8948106499119939, 'b7_spring': -0.36726208419622275, 'a0_summer': 37.36465379828272, 'a1_summer': -1.2860271128951528, 'a7_summer': -0.08919735901746742, 'b1_summer': -0.03241606656944168, 'b7_summer': -0.5894875410378856, 'a0_fall': 37.52646268318328, 'a1_fall': -0.3122387771603539, 'a7_fall': 0.3932612668883231, 'b1_fall': 0.9664380938031365, 'b7_fall': -0.470478206127907, 'a0_winter': 37.222194460079756, 'a1_winter': 0.8032089029801037, 'a7_winter': -1.6020240261029182, 'b1_winter': -0.8047165734083485, 'b7_winter': 0.7742427592032279, 'ERD_choice': 1}"
7,"{'B_PSH': 1337936.8411188903, 'N_pv1_sub': 800.490183390064, 'a0_spring': 37.202304109266755, 'a1_spring': -0.3350502784424584, 'a7_spring': -0.8222152074332901, 'b1_spring': 0.9203925914432286, 'b7_spring': -0.36726208419622275, 'a0_summer': 37.355854766785185, 'a1_summer': -1.2860271128951528, 'a7_summer': -0.09850447525764428, 'b1_summer': 0.7026826175635555, 'b7_summer': -0.5894875410378856, 'a0_fall': 37.53994878721438, 'a1_fall': -0.29549587225570084, 'a7_fall': 0.42063571530997723, 'b1_fall': 0.9664380938031365, 'b7_fall': -0.4635150599117392, 'a0_winter': 37.26169486660312, 'a1_winter': -0.23667423067674437, 'a7_winter': -0.24794699035995915, 'b1_winter': 0.394068832585333, 'b7_winter': 0.7742427592032279, 'ERD_choice': 1}"
8,"{'B_PSH': 1364431.4423338925, 'N_pv1_sub': 841.4634293393852, 'a0_spring': 37.47896808234274, 'a1_spring': -0.00610971421582765, 'a7_spring': -0.9881289109338673, 'b1_spring': 1.1959051986458316, 'b7_spring': 0.4290135282556737, 'a0_summer': 37.17368423153077, 'a1_summer': -0.10464946746348862, 'a7_summer': -1.561845215295116, 'b1_summer': -0.8285088661891465, 'b7_summer': 0.7902773154197684, 'a0_fall': 37.44409620497437, 'a1_fall': -0.49440086306346476, 'a7_fall': -0.9403270832042195, 'b1_fall': -0.5351816514451738, 'b7_fall': 0.6259293300366386, 'a0_winter': 37.269743184512016, 'a1_winter': -0.3261833911485438, 'a7_winter': 0.003349712095097623, 'b1_winter': -0.7806061253394437, 'b7_winter': -0.4642348746034857, 'ERD_choice': 1}"
9,"{'B_PSH': 1462169.4387392309, 'N_pv1_sub': 817.5741217737992, 'a0_spring': 37.48759802727836, 'a1_spring': -0.11437233344307551, 'a7_spring': -0.9760144470090724, 'b1_spring': 1.2161020768538682, 'b7_spring': -0.3997814044627953, 'a0_summer': 37.23746477180431, 'a1_summer': -0.08952073702513019, 'a7_summer': -0.5280430138330147, 'b1_summer': -0.706480130708764, 'b7_summer': 0.4867457802696511, 'a0_fall': 37.44919887554292, 'a1_fall': 1.2144536524561742, 'a7_fall': -0.8807111239615657, 'b1_fall': -0.18304070440965214, 'b7_fall': 1.063575430957947, 'a0_winter': 37.20989253867756, 'a1_winter': -0.32510864804852, 'a7_winter': -1.1069131750022234, 'b1_winter': -0.8116532833656642, 'b7_winter': 1.5102700031790652, 'ERD_choice': 1}"
