,0
0,-1046906227.4884754
1,-1036253623.1319969
2,-1034999972.1976933
3,-1033524974.9467528
4,-1032195798.0551829
5,-1030951141.9425962
6,-1030339208.8487378
7,-1028102656.0929899
8,-1028091687.3630093
9,-1026157634.6454935
10,-1025114661.713193
11,-1023690331.599611
12,-1023217908.2144496
13,-1023012208.8427237
14,-1022695697.9446267
15,-1021296993.4117688
16,-1020727429.5008633
17,-1019924554.11864
18,-1019459737.6169662
19,-1019392049.5212681
20,-1018379485.2053089
21,-1017491258.6906512
22,-1017235168.0694476
23,-1016296963.7388196
24,-1016290438.3874238
25,-1016190334.5270147
26,-1016127730.8574221
27,-1015343961.870264
28,-1015208571.7442582
29,-1015072716.3804243
30,-1014825551.3714477
31,-1014550027.4209275
32,-1014314191.7513978
33,-1014260324.0228769
34,-1013994191.8372427
35,-1013799910.9016709
36,-1013759725.1233283
37,-1013619910.521874
38,-1013590010.6399332
39,-1013298819.2935923
40,-1012945835.4763923
41,-1012911890.993437
42,-1012824689.148085
43,-1012624908.1700433
44,-1012621302.669484
45,-1012519589.2013472
46,-1012097546.3548945
47,-1012096221.8415207
48,-1011969478.8690511
49,-1011878318.864811
50,-1011854796.7859198
51,-1011412996.576163
52,-1011380809.8949004
53,-1010990185.7069595
54,-1010915083.9033552
55,-1009931973.357736
56,-1009827534.6197895
57,-1009810520.3517227
58,-1009786330.4050257
59,-1009578226.3026382
60,-1009470041.8512989
61,-1009377190.1782984
62,-1009272136.4461727
63,-1009178016.9103098
64,-1009122199.2558649
65,-1009089346.0639585
66,-1009052307.6717455
67,-1008306417.6289283
68,-1008265648.4728874
69,-1008132645.6846764
70,-1007881561.7291064
71,-1007793051.8116133
72,-1007647623.7833508
73,-1007572041.7830377
74,-1007281702.460551
75,-1007223797.8696866
76,-1007102746.5182588
77,-1007021223.5525751
78,-1006335575.7121398
79,-1006245231.982543
80,-1006145780.5671914
81,-1006025126.9122704
82,-1005977655.493061
83,-1005969491.7176168
84,-1005587354.8769872
85,-1005378864.2927082
86,-1005186827.5377698
87,-1005164327.3103697
88,-1005000322.8159256
89,-1004908503.5679184
90,-1004883155.0684415
91,-1004869380.049147
92,-1004777142.4113559
93,-1004757063.4196984
94,-1004591613.4187695
95,-1004579100.5938957
96,-1004507393.3004928
97,-1004407441.8696258
98,-1004397843.7475573
99,-1004338872.2514393
