,0
0,-1013298819.2935923
1,-1007647623.7833508
2,-1001260485.2448777
3,-1000647477.8484828
4,-999447535.1858106
5,-996959589.4313945
6,-994729396.8612957
7,-994665231.9652206
8,-994429296.4855155
9,-992587902.9109056
10,-990874290.0026133
11,-990257566.3531249
12,-989125273.3285766
13,-988879853.1514357
14,-988511110.9654136
15,-987819083.9550178
16,-987804528.8226739
17,-986760397.2046794
18,-986746701.7125691
19,-986369159.3299729
20,-985782002.6393001
21,-985322978.3197216
22,-985043937.7731495
23,-984942032.5020994
24,-984398382.9900477
25,-984047926.140429
26,-983995112.2096658
27,-983756844.8494209
28,-983468624.680001
29,-982334704.6467626
30,-982067188.1280591
31,-981337894.2607089
32,-980624144.5558835
33,-980131742.4348378
34,-979766361.8702842
35,-979394463.4784358
36,-979030034.4605864
37,-978402162.2941821
38,-978132379.2814815
39,-978098615.0991825
40,-978082013.2779286
41,-977264799.9722558
42,-976785424.3054113
43,-976297301.8363501
44,-975416136.377018
45,-974921288.667421
46,-974664337.9495304
47,-974115263.5299703
48,-973742664.8364549
49,-973478891.6553264
50,-973127747.566622
51,-972852317.0650365
52,-972196358.0956507
53,-972011610.7945583
54,-971609036.3225695
55,-970981921.4703305
56,-970666214.5110458
57,-970354585.3307793
58,-970168502.6506876
59,-970136084.8126142
60,-969398573.5272855
61,-969235210.1530093
62,-968477866.8914906
63,-968217979.1245097
64,-968217465.3897839
65,-968203472.0290041
66,-967878309.4841455
67,-967700572.0451268
68,-967516342.8020129
69,-967305499.2782755
70,-967264907.4002296
71,-967063706.7478538
72,-966963971.7677184
73,-966735935.8537416
74,-966658829.6551491
75,-966565593.5913787
76,-966360169.3057632
77,-966280167.8459961
78,-965961850.946784
79,-965960332.1655405
80,-965921181.6375409
81,-965584545.9355563
82,-965335261.055869
83,-964995107.1974006
84,-964899613.2840362
85,-964814417.8290405
86,-964751737.2171694
87,-964581585.1745664
88,-964215827.2901012
89,-964212136.8790518
90,-964113090.437061
91,-964089031.7267237
92,-963862342.0451787
93,-963766170.4294906
94,-963619551.9728829
95,-963319388.2375348
96,-963218737.9610176
97,-962901678.0207411
98,-962727819.1095475
99,-962645368.7800517
